Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
241,Championnats du Monde (Paris),Paris,04-11-2010,Epee,Women,2010
242,Championnats du Monde (Paris),Paris,05-11-2010,Epee,Men,2010
243,Championnats du Monde (Paris),Paris,05-11-2010,Foil,Women,2010
244,Championnats du Monde (Paris),Paris,04-11-2010,Foil,Men,2010
245,Championnats du Monde (Paris),Paris,05-11-2010,Sabre,Women,2010
246,Championnats du Monde (Paris),Paris,04-11-2010,Sabre,Men,2010
584,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Epee,Women,2010
585,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Epee,Men,2010
586,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Foil,Women,2010
587,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Foil,Men,2010
588,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Sabre,Women,2010
589,Championnats d'Afrique (Tunis),Tunis,25-09-2010,Sabre,Men,2010
797,Championnats Panaméricains (San José),San José,04-08-2010,Epee,Women,2010
798,Championnats Panaméricains (San José),San José,03-08-2010,Foil,Men,2010
799,Championnats Panaméricains (San José),San José,02-08-2010,Epee,Men,2010
800,Championnats Panaméricains (San José),San José,02-08-2010,Foil,Women,2010
801,Championnats Panaméricains (San José),San José,03-08-2010,Sabre,Women,2010
802,Championnats Panaméricains (San José),San José,04-08-2010,Sabre,Men,2010
738,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Epee,Women,2010
739,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Epee,Men,2010
740,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Foil,Women,2010
741,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Foil,Men,2010
742,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Sabre,Women,2010
743,Championnats d'Europe (Leipzig),Leipzig,16-07-2010,Sabre,Men,2010
961,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Epee,Women,2010
962,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Epee,Men,2010
963,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Foil,Women,2010
964,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Foil,Men,2010
965,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Sabre,Women,2010
966,Jeux Centraméricains et des Caraïbes (Mayaguez),Mayaguez,18-07-2010,Sabre,Men,2010
1010,Championnats asiatiques (Séoul),Séoul,10-07-2010,Epee,Men,2010
