Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,SIDIROPOULOU-CHRISTODOULOU Niki-Katerina,164.0,R,NIXON Catherine,61.0,L,Won,8,7
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,BRUNNER Pauline,67.0,L,EL KORD Camilia,107.0,R,Won,15,7
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,SAKOA Gbahi Gwladys,62.0,R,CHU Ka Mong,137.0,R,Won,15,11
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,VERRET Alexanne,105.0,R,ASIS Lizzie,74.0,L,Loss,8,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,MAVRIKIOU Irina,205.0,L,KUN Anna,95.0,R,Loss,8,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,SALMINEN Anna,160.0,R,TRAN Thi Thuy Trinh,221.0,R,Won,15,6
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,HERMINIO Ines,349.0,R,KNAPIK-MIAZGA Renata,32.0,L,Loss,4,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,BOONE Kelly,142.0,R,SERAPINAITE Emilija,193.0,R,Loss,13,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,PATTEN Emily,198.0,L,RAMIREZ Josefina,92.0,L,Loss,14,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,SIMMS-LYMN Tia,154.0,R,DOUBOVA Dominika,178.0,R,Loss,7,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,SMITH TAYLOR Katrina,129.0,R,ANDERSEN Madeleine,163.0,R,Won,15,11
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,MASALO Olivija,292.0,R,HOPPE MONTANARO Malinka,108.0,R,Loss,10,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,TEJEDA Sheila Liliana,128.0,R,LIN Yik Hei Coco,79.0,R,Loss,11,15
Women,Epee,2019/2020,Championnats du Monde (Budapest),15-07-2019,LIM Cheryl,217.0,R,KHAKIMOVA Malika,73.0,R,Loss,9,15
