athleteId,hand,rank
1458,L,
1886,R,551.0
2228,R,71.0
2607,R,333.0
2693,R,18.0
2862,R,258.0
3256,R,39.0
3643,L,25.0
3960,R,209.0
4164,L,35.0
4220,L,201.0
4388,R,80.0
4585,L,21.0
4955,L,34.0
5245,R,32.0
5279,L,452.0
5452,R,46.0
5530,R,319.0
5796,R,185.0
5956,R,557.0
6086,L,68.0
6424,R,15.0
6745,R,237.0
7739,R,36.0
8195,R,344.0
8485,R,272.0
8746,R,43.0
9180,R,218.0
9283,R,22.0
9370,L,40.0
9426,R,21.0
9557,R,533.0
9733,R,6.0
9904,R,
10145,R,34.0
10250,R,392.0
10399,R,85.0
10556,R,
10794,L,67.0
11034,R,53.0
11122,R,783.0
11652,R,25.0
12094,R,343.0
12211,R,785.0
12343,R,56.0
12428,R,54.0
12531,R,190.0
12591,L,83.0
12678,R,91.0
12780,R,53.0
13191,R,212.0
13415,R,152.0
13452,R,14.0
13643,R,66.0
13715,R,1.0
13888,R,62.0
14473,R,390.0
14560,L,87.0
14734,R,305.0
14957,L,63.0
15094,R,389.0
15182,R,30.0
15297,R,315.0
15353,R,65.0
15467,R,308.0
15615,R,195.0
15847,R,57.0
15984,L,151.0
16063,R,254.0
16374,R,367.0
16436,R,33.0
16790,R,138.0
17179,L,69.0
17300,R,604.0
17449,R,21.0
17462,R,721.0
17547,R,48.0
17622,L,90.0
17715,L,141.0
17770,R,27.0
17930,R,254.0
18031,L,13.0
18410,R,602.0
18600,R,321.0
18716,R,556.0
18774,R,152.0
18881,L,7.0
18954,R,275.0
19054,L,220.0
19243,R,45.0
19590,L,175.0
19616,R,48.0
19821,R,3.0
19926,L,30.0
20048,R,614.0
20151,R,329.0
20382,R,82.0
20459,R,575.0
20487,R,124.0
20538,R,236.0
20601,R,124.0
20708,R,293.0
20808,R,631.0
20889,R,332.0
20960,R,53.0
21049,R,135.0
21208,L,54.0
21273,R,25.0
21499,R,42.0
21600,L,544.0
21705,R,45.0
21729,R,61.0
21828,R,187.0
21966,L,23.0
22036,R,51.0
22252,R,15.0
22329,R,438.0
22358,L,253.0
22435,R,104.0
22488,R,99.0
22555,R,10.0
22630,L,37.0
22771,R,125.0
22872,L,310.0
22964,R,492.0
23044,R,314.0
23253,R,78.0
23398,L,19.0
23663,R,410.0
23747,R,135.0
23811,R,638.0
24074,L,124.0
24117,L,45.0
24259,R,13.0
24408,R,2.0
24486,L,123.0
24678,R,76.0
24865,R,347.0
24911,R,139.0
24970,L,13.0
25082,R,120.0
25181,R,103.0
25200,R,3.0
25212,R,24.0
25356,L,214.0
25508,R,215.0
25515,R,143.0
25842,R,60.0
25917,R,32.0
25946,R,842.0
25963,R,517.0
26023,R,152.0
26115,R,289.0
26146,R,374.0
26223,R,707.0
26280,R,140.0
26350,R,99.0
26404,R,162.0
26533,R,98.0
26550,L,682.0
