Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
469,A128,ITZKOWITZ Aliya,28107,GBR,BENITEZ ROMERO Alejandra Jhonay,8745,VEN,Loss,5,15
469,A128,PEREZ MAURICE Maria Belen,1458,ARG,LEE Jolie Kar Yi,32991,SGP,Won,15,5
469,A128,KINDLER Ann-Sophie,24486,GER,GRENCH Eileen,9109,PAN,Loss,9,15
469,A128,EGORIAN Yana,25208,RUS,FUKUSHIMA Shihomi,35881,JPN,Won,15,12
469,A128,HERNANDEZ Elena,39583,ESP,SZUCS Luca,42875,HUN,Loss,7,15
469,A128,ZHOVNIR Olga,14862,UKR,SHEN Chen,27545,CHN,Loss,9,15
469,A128,MOSEYKO Alina,35112,RUS,ERBIL Nisanur,45353,TUR,Loss,8,15
469,A128,WATOR Angelika,26116,POL,LASZLO Luca,26593,HUN,Loss,13,15
469,A128,HONG Haeun,45968,KOR,VARHELYI Kata,20065,HUN,Won,15,9
469,A128,PEKELMAN Luana,43049,BRA,VELASQUEZ Jornellys,25047,VEN,Loss,8,15
469,A128,TROIS Karina,31023,BRA,NOUTCHA Sarah,36394,FRA,Won,15,10
469,A128,TAKASHIMA Risa,31865,JPN,LUCARINI Lucia,34297,ITA,Loss,6,15
469,A128,LAM Hin Wai,18732,HKG,URANO Kana,29835,JPN,Loss,12,15
469,A128,KEHLI Zohra Nora,48621,ALG,BEN CHAABANE Amira,21273,TUN,Loss,14,15
469,A128,BANEZCA Luismar,35322,VEN,VONGSAVADY Malina,32382,FRA,Loss,12,15
469,A128,KHABIBULLINA Aibike,27310,KAZ,BESBES Azza,15847,TUN,Loss,5,15
469,A128,BASHTA Anna,31300,AZE,THOMPSON Kamali,27584,USA,Won,15,7
469,A128,VORONINA Olena,16021,UKR,SARYBAY Aigerim,32989,KAZ,Won,15,5
469,A128,YANG Hengyu,34904,CHN,FUNKE Julika,36389,GER,Loss,11,15
469,A128,HWANG Seona,16438,KOR,LUPU Andreea,37410,ROU,Won,15,13
469,A128,LIMBACH Anna,12054,GER,TRIANTAFYLLI Eleftheria Ilianna,49696,GRE,Won,15,4
469,A128,KATONA Renata,26595,HUN,RUSSO Francesca,23253,USA,Won,15,6
469,A128,BAKASTOVA Yuliia,33006,UKR,SHCHUKLA Iryna,28351,TUR,Loss,13,15
469,A128,RODRIGUEZ Shia,27197,VEN,TSYMBOTA Mariya,31135,UKR,Loss,6,15
469,A128,CHIERIGHINI Pietra,43593,BRA,POCHEKUTOVA Tamara,24678,KAZ,Loss,11,15
469,A128,DOSPAY Karina,39246,KAZ,GIMALAC Margaux,32383,FRA,Loss,8,15
469,A128,MIKULIK Julia,12678,HUN,CIARAGLIA Sofia,25456,ITA,Won,15,14
469,A128,PONICH Marissa,26433,CAN,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,20960,IND,Loss,11,15
469,A128,KOZACZUK Malgorzata,10286,POL,JOHNSON Honor,45702,USA,Won,15,14
469,A128,NEIKOVA Emma,48279,BUL,NAVARRO Araceli,7739,ESP,Loss,8,15
469,A128,PASTRAN Milagros,20964,VEN,TAILLANDIER Charleine,18448,FRA,Loss,10,15
469,A128,CIESLAR Zuzanna,36407,POL,IVANISHCHANKA Hanna,31974,BLR,Won,15,14
469,A128,MONTASER Nour,34592,EGY,VALENTIN Heyddys,25347,DOM,Loss,14,15
469,A128,LEE Rajin,16435,KOR,KRUEGER Lea,28460,GER,Loss,9,15
469,A128,JIA Xiaoye,38104,CHN,KIMURA Marino,25508,JPN,Won,15,11
469,A128,EIFLER Larissa,34051,GER,BOLSHAKOVA Valeriya,29188,AZE,Loss,14,15
469,A128,SILVA Paula,14212,CHI,QUEROLI Caroline,33874,FRA,Loss,5,15
469,A128,PAIZI Marina,18023,GRE,KOBAYASHI Kanae,33997,JPN,Loss,11,15
469,A128,POTZ-NAGY Fanni,42088,HUN,DALLA VECCHIA Beatrice,36315,ITA,Loss,6,15
469,A128,ZAHONYI Petra,32720,HUN,HRAMOVA Olga A.,17756,BUL,Loss,13,15
469,A128,MILLER Sky,44838,USA,TARICCO Benedetta,40694,ITA,Loss,6,15
469,A128,CHOI Sooyeon,29536,KOR,LARGAESPADA Fatima,26786,NCA,Won,15,4
469,A128,MARTIS Sabina,35177,ROU,KIM Ha-Eun,37743,KOR,Loss,9,15
469,A128,UNLUDAG Deniz Selin,39155,TUR,OBVINTSEVA Yana,29189,UZB,Loss,12,15
469,A128,RAHACHEUSKAYA Katsiaryna,42231,BLR,JEON Hayoung,43610,KOR,Loss,5,15
469,A128,RIFKISS Margaux,30627,FRA,TAZAKI Rikako,42760,JPN,Won,15,11
469,A128,KOMASHCHUK Alina,21499,UKR,DAGHFOUS Yasmine,37081,TUN,Won,15,6
469,A128,WOZNIAK Dagmara,9199,USA,NAVARRIA Caterina,19917,ITA,Won,15,13
469,A128,SASAKI Haruna,29128,JPN,BOUDIAF Saoussen,26533,FRA,Loss,7,15
469,A128,KARIMOVA Sabina,14957,AZE,BATTISTON Michela,31927,ITA,Loss,9,15
469,A128,BUNYATOVA Sevil,14958,AZE,MATUSZAK Sylwia,33907,POL,Loss,4,15
469,A128,PEREZ CUENCA Celia,26879,ESP,PRIKHODKO Tatyana,26339,KAZ,Won,15,11
469,A128,FELIX LARA Rossy,21164,DOM,AOKI Chika,26913,JPN,Loss,10,15
469,A128,HAMPSON Sarah-Jane,30625,GBR,MORMILE Chiara,26677,ITA,Loss,4,15
469,A128,KOSE Fatma Zehra,32892,TUR,KASPIAROVICH Palina,29970,BLR,Loss,14,15
469,A128,PLIEGO Paola,27182,UZB,BURKE Nora,35681,USA,Loss,14,15
469,A128,JIJIEISHVILI Lika,39559,GEO,FOX-GITOMER Chloe,35742,USA,Won,15,12
469,A128,CHAMBERLAIN Maia,35361,USA,SHELTON Aleksandra,5471,USA,Won,15,14
469,A128,DIMA Loredana,29872,ROU,TAMURA Norika,22363,JPN,Won,15,13
469,A128,MAXWELL Caitlin,34133,GBR,KIM Jiyoung,29239,KOR,Loss,13,15
