athleteId,hand,rank
1486,R,
1644,R,368.0
1886,R,873.0
2224,R,33.0
2427,R,
2635,R,627.0
2693,R,21.0
2890,R,847.0
3149,R,567.0
3629,R,33.0
3913,R,
4119,R,146.0
4181,R,
4243,R,
4380,R,
4423,L,9.0
4586,R,13.0
4704,L,
5037,L,85.0
5235,L,
5279,L,448.0
5397,R,91.0
5471,R,43.0
5530,R,329.0
5707,R,419.0
5955,R,
6000,R,12.0
6086,L,109.0
6214,R,511.0
6405,R,214.0
6783,L,18.0
7209,R,
7470,R,208.0
7828,R,387.0
8195,R,216.0
8284,,
8613,R,84.0
9109,R,59.0
9199,L,20.0
9355,R,417.0
9378,R,
9554,R,454.0
9648,R,203.0
9746,L,17.0
9871,R,204.0
10139,R,
10213,R,50.0
10335,L,262.0
10403,R,61.0
10737,R,
10794,L,45.0
10918,R,
11066,R,24.0
11347,R,
11652,,
12094,R,485.0
12216,R,49.0
12343,R,24.0
12419,R,
12529,R,37.0
12590,R,
12626,R,122.0
12780,R,42.0
13090,R,92.0
13262,R,
13422,R,57.0
13459,L,9.0
13577,R,360.0
13709,R,38.0
13812,R,547.0
13924,R,433.0
14148,R,478.0
14373,R,
14464,R,
14560,L,100.0
14715,R,284.0
14920,R,309.0
14958,R,
15013,R,
15094,R,971.0
15182,R,20.0
15297,R,238.0
15351,R,100.0
15375,R,11.0
15536,R,8.0
15735,R,129.0
15796,R,119.0
15847,R,56.0
15941,R,623.0
16054,R,
16294,R,217.0
16374,R,469.0
16393,L,144.0
16436,R,22.0
16709,R,
16779,R,71.0
17045,R,658.0
17091,R,997.0
17162,R,346.0
17227,R,99.0
17449,R,19.0
17461,R,355.0
17547,R,70.0
17600,R,219.0
17678,R,142.0
17748,R,19.0
17759,R,
17823,R,12.0
17948,R,
18023,R,137.0
18136,R,
18264,L,291.0
18369,R,161.0
18448,R,116.0
18582,R,
18640,L,262.0
18728,R,87.0
18815,R,269.0
18876,R,11.0
18941,R,207.0
18967,L,48.0
19054,L,225.0
19216,R,113.0
19379,L,99.0
19504,R,
19571,R,592.0
19595,R,134.0
19664,R,768.0
19830,L,
19914,R,
19934,R,
19968,R,49.0
20065,R,199.0
20126,R,232.0
20181,R,131.0
20398,L,59.0
20482,R,76.0
20514,R,11.0
20571,R,379.0
20601,R,113.0
20648,R,
20708,R,635.0
20769,R,
20826,R,163.0
20893,R,
20916,R,
20964,R,140.0
21017,R,128.0
21070,R,
21124,R,
21208,L,39.0
21273,R,29.0
21466,R,303.0
21500,R,272.0
21584,L,52.0
21624,R,
21710,R,163.0
21745,L,212.0
21815,R,34.0
21929,R,484.0
21966,L,26.0
22036,R,36.0
22078,R,223.0
22178,L,814.0
22256,L,85.0
22345,R,227.0
22358,L,523.0
22401,R,144.0
22449,R,30.0
22490,R,476.0
22555,R,14.0
22599,L,128.0
22659,R,357.0
22701,R,
22777,L,
22819,R,456.0
22877,R,60.0
22920,R,205.0
22964,R,610.0
23044,R,299.0
23126,L,82.0
23253,R,86.0
23342,L,388.0
23445,R,29.0
23495,R,130.0
23572,R,
23664,R,225.0
23744,L,528.0
23787,R,352.0
23988,R,
24084,R,167.0
24120,L,32.0
24235,R,
24278,R,55.0
24399,L,235.0
24409,R,
24463,R,102.0
24489,L,
24541,R,
24611,R,310.0
24669,R,
24756,R,513.0
24831,R,
24867,R,
24885,R,82.0
24928,L,396.0
24990,L,123.0
25014,R,
25075,R,
25142,R,15.0
25181,R,99.0
25200,R,3.0
25253,R,343.0
25347,R,62.0
25418,R,161.0
25456,R,51.0
25513,R,31.0
25539,R,209.0
25687,L,541.0
25842,R,68.0
25909,L,182.0
25941,R,128.0
25957,R,363.0
26001,R,476.0
26050,L,145.0
26088,R,105.0
26116,,
26142,L,
26187,R,254.0
26244,L,25.0
26281,L,
26304,R,85.0
26331,R,
26369,R,217.0
26404,R,143.0
26464,R,913.0
26501,R,
26539,R,208.0
26551,R,430.0
26593,R,173.0
26668,R,32.0
26700,R,4.0
26736,R,96.0
26800,R,204.0
26855,R,351.0
26868,R,
26885,L,
26919,R,176.0
26957,L,676.0
27015,R,
27085,L,
27143,L,488.0
27169,R,
27218,R,37.0
27237,R,20.0
27268,R,135.0
27288,R,103.0
27296,R,
27310,R,134.0
27351,R,294.0
27371,R,217.0
27431,R,50.0
27539,R,312.0
27607,R,
27745,R,522.0
27922,R,272.0
28000,R,83.0
28036,R,421.0
28086,R,168.0
28109,R,266.0
28137,R,
28185,R,179.0
28206,L,
28232,R,
28262,R,669.0
28291,R,199.0
28308,R,441.0
28340,R,
28365,R,38.0
28449,R,182.0
28461,R,118.0
28521,R,102.0
28541,L,121.0
28598,R,485.0
28629,R,41.0
28650,R,
28691,L,411.0
28712,R,26.0
28728,R,123.0
28761,L,127.0
28816,R,90.0
28840,L,215.0
28847,R,76.0
28867,R,577.0
28889,R,391.0
28909,L,141.0
28934,R,438.0
28996,R,
29012,L,141.0
29038,L,
29051,R,613.0
29076,L,39.0
29095,R,168.0
29118,L,271.0
29148,R,866.0
29189,R,118.0
29200,L,260.0
29219,R,
29230,R,384.0
29237,R,26.0
29250,R,295.0
29261,L,
29297,R,326.0
29322,R,
29344,R,343.0
29450,L,
29596,R,549.0
29653,R,209.0
29760,R,479.0
29775,L,315.0
29817,L,297.0
29851,R,241.0
29914,R,115.0
29935,R,246.0
29962,R,74.0
29976,,
30028,R,
30042,R,171.0
30070,R,275.0
30081,R,38.0
30099,L,725.0
30107,R,348.0
30145,R,
30168,R,242.0
30257,R,727.0
30284,R,
30298,R,
30327,R,39.0
30389,R,35.0
30437,R,218.0
30490,R,257.0
30507,R,346.0
30539,R,126.0
30564,R,
30588,R,46.0
30615,R,
30628,R,227.0
30645,R,
30713,R,623.0
30764,R,163.0
30804,R,326.0
30829,L,58.0
30842,R,
30878,L,5.0
30886,R,
30911,R,231.0
30935,R,215.0
30956,R,
30975,R,300.0
30996,R,425.0
31014,R,397.0
31029,R,325.0
31040,R,177.0
31047,R,
31066,R,
31096,R,253.0
31104,R,193.0
31116,R,330.0
31131,R,183.0
31149,L,
31160,R,
31171,R,286.0
31244,R,75.0
31293,R,350.0
31302,R,11.0
31335,R,314.0
31348,R,53.0
31420,R,
31494,R,537.0
31588,R,189.0
31619,R,80.0
31635,R,
31689,R,958.0
31720,R,624.0
31757,R,403.0
31809,R,819.0
31836,R,77.0
31852,R,
31870,L,100.0
31893,R,
31902,R,279.0
31919,R,18.0
31940,L,408.0
31958,R,96.0
31975,R,435.0
31995,R,
32025,R,204.0
32043,R,791.0
32077,R,184.0
32114,R,236.0
32167,L,274.0
32176,R,
32195,R,305.0
32232,L,70.0
32248,R,211.0
32265,R,58.0
32300,R,
32326,R,15.0
32358,R,84.0
32376,L,90.0
32390,L,108.0
32399,R,601.0
32420,L,
32441,R,147.0
32464,R,42.0
32473,L,48.0
32498,R,103.0
32525,L,238.0
32568,L,197.0
32578,R,295.0
32620,R,470.0
32641,R,
32676,R,
32694,R,
32718,R,
32742,R,
32763,L,101.0
32816,L,217.0
32845,R,412.0
32855,R,284.0
32890,R,265.0
32902,R,254.0
32919,R,18.0
32938,R,130.0
32954,R,158.0
32973,R,277.0
32991,R,144.0
33012,R,
33027,L,
33068,L,383.0
33129,R,59.0
33178,R,104.0
33190,R,731.0
33225,R,226.0
33283,R,197.0
33393,R,381.0
33491,R,94.0
33549,R,775.0
33608,L,
33628,R,582.0
33652,L,
33666,R,442.0
33680,L,885.0
33743,R,573.0
33780,R,148.0
33823,R,608.0
33833,R,235.0
33852,R,
33860,R,301.0
33873,L,459.0
33895,R,359.0
33921,R,
33969,L,
34048,R,
34064,R,574.0
34085,R,
34175,R,
34192,L,182.0
34218,R,106.0
34257,R,961.0
34276,R,311.0
34282,R,332.0
34313,L,69.0
34330,R,
34354,L,150.0
34387,L,245.0
34445,R,110.0
34482,R,80.0
34504,R,266.0
34535,R,
34544,R,290.0
34564,R,75.0
34582,R,1012.0
34598,R,
34624,,
34636,R,27.0
34643,R,42.0
34663,R,189.0
34681,R,215.0
34707,R,
34722,L,143.0
34744,R,158.0
34789,R,61.0
34866,L,62.0
34888,R,234.0
34898,R,133.0
34906,R,148.0
34934,R,101.0
34944,R,
34969,R,89.0
34987,R,290.0
35026,L,97.0
35065,R,252.0
35095,R,
35108,R,63.0
35115,R,123.0
35143,L,142.0
35185,R,
35194,R,310.0
35225,R,398.0
35259,L,423.0
35327,R,417.0
35374,R,
35404,R,576.0
35483,R,395.0
35564,R,141.0
35615,R,
35642,R,246.0
35664,R,532.0
35685,R,186.0
35742,L,57.0
35778,R,620.0
35795,R,
35810,L,494.0
35854,R,331.0
35874,R,407.0
35917,R,188.0
35934,R,
35940,R,
35995,R,
36046,R,976.0
36160,L,
36190,R,324.0
36230,R,245.0
36365,R,534.0
36394,R,64.0
36453,R,294.0
36485,R,250.0
36515,R,22.0
36530,R,170.0
36544,R,256.0
36603,R,994.0
36627,L,339.0
36663,L,347.0
36714,R,933.0
36734,R,446.0
36755,R,1029.0
36796,R,64.0
36814,R,328.0
36836,R,261.0
36876,R,571.0
36888,R,447.0
36940,R,
36990,R,1.0
37010,L,90.0
37032,R,599.0
37054,R,522.0
37080,R,109.0
37141,R,685.0
37194,L,27.0
37239,R,269.0
37257,L,
37268,R,
37277,R,337.0
37301,R,114.0
37346,R,276.0
37376,R,335.0
37411,L,324.0
37422,R,
37446,L,106.0
37478,R,
37546,L,660.0
37576,L,334.0
37606,,
37623,R,687.0
37683,L,129.0
37710,R,363.0
37732,R,492.0
37754,L,83.0
37789,R,305.0
37833,L,470.0
37860,L,117.0
37871,R,15.0
37876,R,324.0
37912,R,327.0
37991,R,475.0
38019,R,604.0
38073,R,79.0
38133,R,303.0
38176,R,449.0
38205,R,378.0
38221,R,
38355,R,760.0
38586,R,177.0
38592,R,538.0
38602,R,223.0
38622,R,92.0
38659,R,
38683,R,
38710,R,193.0
38739,R,
38767,R,560.0
38782,R,666.0
38806,R,596.0
38837,L,134.0
38853,R,340.0
38861,R,447.0
38901,R,365.0
38911,R,488.0
38934,R,256.0
38970,R,239.0
38991,R,472.0
39019,R,270.0
39074,R,
39088,R,
39124,R,304.0
39143,R,285.0
39160,R,283.0
39188,R,
39204,R,760.0
39246,R,241.0
39283,R,358.0
39295,R,
39300,R,704.0
39353,R,665.0
39369,R,
39393,R,1010.0
39427,R,280.0
39446,R,612.0
39464,R,562.0
39474,R,119.0
39485,R,
39513,R,
39536,L,650.0
39578,R,256.0
39609,R,597.0
39623,R,574.0
39650,R,160.0
40007,R,
40034,R,
40104,R,728.0
40150,R,196.0
40193,R,392.0
40217,L,364.0
40236,R,335.0
40267,R,283.0
40292,R,694.0
40354,L,189.0
40360,R,350.0
40432,R,
40447,R,
40453,R,
40478,R,
40519,R,210.0
40573,R,
40711,L,537.0
40750,R,291.0
40928,R,673.0
40992,R,237.0
41133,R,
41473,R,173.0
41547,L,219.0
41570,L,
41587,R,274.0
41694,R,
41722,R,
41734,L,470.0
41743,R,266.0
41820,R,513.0
41843,L,223.0
41886,R,
41901,R,366.0
41971,R,
41995,R,570.0
42011,R,374.0
42018,R,
42027,R,520.0
42053,R,
42075,R,967.0
42112,R,376.0
42154,R,307.0
42190,R,
42205,R,
42232,L,343.0
42295,R,378.0
42349,R,617.0
42365,R,
42390,R,382.0
42416,R,423.0
42504,R,585.0
42541,L,37.0
42585,L,59.0
42604,R,351.0
42643,R,
42728,L,371.0
42751,L,5.0
42799,R,133.0
42812,R,
42858,R,576.0
42908,,
42962,R,900.0
42984,L,
43015,L,489.0
43040,R,
43099,R,
43140,R,
43192,R,667.0
43228,R,363.0
43265,R,145.0
43300,R,143.0
43403,R,164.0
43466,R,810.0
43511,R,308.0
43547,R,226.0
43560,L,190.0
43624,R,
43803,R,36.0
44105,R,272.0
44130,R,177.0
44181,L,917.0
44198,R,201.0
44232,R,397.0
44272,R,364.0
44296,R,349.0
44330,R,
44744,R,402.0
44853,R,472.0
44880,R,
44951,R,642.0
44984,L,165.0
45014,R,242.0
45052,R,
45127,R,
45139,R,
45165,L,
45194,R,
45215,R,709.0
45235,R,534.0
45270,L,
45297,R,
45326,R,505.0
45353,R,138.0
45385,L,
45402,R,556.0
45418,R,500.0
45433,R,698.0
45487,L,
45539,R,437.0
45567,R,179.0
45583,R,704.0
45615,R,460.0
45627,R,
45651,R,
45655,R,
45731,R,389.0
45813,L,115.0
45820,R,
45846,R,
45927,R,199.0
45968,R,286.0
46020,R,
46046,R,484.0
46083,L,148.0
46117,R,583.0
46166,R,
46217,R,572.0
46252,L,201.0
46352,R,
46385,R,
46389,R,
46435,R,
46479,R,
46508,L,115.0
46689,R,
46936,R,176.0
47268,R,
47350,R,390.0
47413,R,
47461,R,622.0
47503,R,
47566,R,208.0
47580,R,408.0
47610,R,363.0
