Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,EMBRICH Irina,61.0,L,DYNER VILLA Karina,133.0,R,Won,15,7
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,SHIMOOKAWA Ayaka,,L,GAVRIELKO Nikol,197.0,L,Won,15,11
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KUN Anna,77.0,R,MAHDY Ayah,351.0,R,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,TATARAN Amalia,169.0,R,GARCIA RODRIGUEZ Ines,396.0,L,Won,15,5
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,SZABO Reka,107.0,L,EHLER Alexandra,66.0,R,Loss,4,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,PIOVESAN SILVA Patrizia,57.0,R,ZAMACHOWSKA Aleksandra,27.0,R,Loss,11,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LIM Victoria Ann Xiu Yan,370.0,R,SBARCIA Raluca Cristina,203.0,R,Loss,13,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KUUSK Kristina,30.0,R,MARTINEZ Maria,34.0,R,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LINDE Asa,209.0,R,HSIEH Kaylin Sin Yan,98.0,R,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,CHRISTMANN Beate,86.0,L,NDOLO Alexandra,35.0,L,Won,10,9
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LIN Yik Hei Coco,76.0,R,SCHMIDL Paula,123.0,R,Loss,13,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,UDREA Maria,,L,CHU Ka Mong,138.0,R,Won,15,4
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,YOSHIMURA Miho,51.0,L,BOONE Kelly,101.0,R,Loss,7,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LIN Sheng,12.0,L,HOPPE MONTANARO Malinka,88.0,R,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KARLSSON Ebba,,R,PANTELYEYEVA Kseniya,23.0,R,Loss,11,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HURLEY Courtney,,,AL SAADI Alanoud,750.0,R,Won,15,7
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,SOZANSKA Monika,213.0,R,CISNEROS Alejandra,217.0,R,Won,13,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KRIEGER Angela,151.0,R,VIVEROS Montserrat,68.0,R,Won,15,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,TAKHAMWONG Wijitta,223.0,R,MUMM Emelie,204.0,R,Loss,5,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HECHT Dar,135.0,R,BAJORUNAITE Paulina,330.0,R,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,EHAB Nardin,64.0,R,AZUKAITE Vikte,193.0,R,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,MOELLHAUSEN Nathalie,20.0,L,THANEE Korawan,153.0,R,Won,15,11
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,ROJKOVA Veronika,327.0,R,SHIN A Lam,,,Loss,12,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KNAPIK-MIAZGA Renata,44.0,L,SALMINEN Anna,195.0,R,Won,15,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,MOESCHLIN Noemi,42.0,R,OISHI Kanna,124.0,R,Loss,13,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KHAKIMOVA Malika,84.0,R,GUO Zi Shan,,R,Won,15,7
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,GUCHMAZOVA Maia,201.0,R,FERNANDEZ CALLEJA Sara,94.0,R,Loss,13,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KOMATA Shiori,246.0,R,DEVEREAUX Anne,166.0,R,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,MEDANY Aya,743.0,R,SANTUCCIO Alberta,24.0,R,Loss,5,11
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,BOTVINIK Yana,80.0,R,VITALIS Coraline,9.0,R,Loss,12,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,RAHARDJA Rania Herlina,488.0,L,BUDAI Dorina,38.0,R,Loss,8,9
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,NAVARRIA Mara,10.0,R,KUN Anna,77.0,R,Won,15,9
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,MALLO Auriane,15.0,L,ROTTLER-FAUTSCH Lis,95.0,L,Won,15,10
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HOLMES Katharine,33.0,R,SHIMOOKAWA Ayaka,,L,Won,14,9
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KRIEGER Angela,151.0,R,LEE Hyein,26.0,R,Loss,13,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KOLOBOVA Violetta,6.0,R,MOELLHAUSEN Nathalie,20.0,L,Won,15,11
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,TATARAN Amalia,169.0,R,LEHIS Katrina,22.0,L,Loss,6,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,RUTZ Barbara,78.0,L,SBARCIA Raluca Cristina,203.0,R,Won,15,4
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LIN Sheng,12.0,L,KANG Young Mi,,,Loss,12,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,SUN Yiwen,2.0,L,SOZANSKA Monika,213.0,R,Won,12,6
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,PANTELYEYEVA Kseniya,23.0,R,STAEHLI Laura,120.0,R,Loss,13,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,POCHKALOVA Anfisa,100.0,R,SCHMIDL Paula,123.0,R,Won,15,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KHAKIMOVA Malika,84.0,R,KONG Man Wai Vivian,1.0,L,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HURLEY Kelley,11.0,L,CHRISTMANN Beate,86.0,L,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,UDREA Maria,,L,MURTAZAEVA Aizanat,,R,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,CANDASSAMY Marie-Florence,16.0,R,KUUSK Kristina,30.0,R,Won,15,9
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,LINDE Asa,209.0,R,SZASZ-KOVACS Emese,,L,Loss,11,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,GUDKOVA Tatiana,200.0,L,ZAMACHOWSKA Aleksandra,27.0,R,Loss,11,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HURLEY Courtney,,,KISKAPUSI Dora,146.0,R,Won,15,12
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,ANDRYUSHINA Tatyana,58.0,R,MUMM Emelie,204.0,R,Won,15,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,BOONE Kelly,101.0,R,ZHU Mingye,5.0,R,Loss,12,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,CHOI Injeong,3.0,R,EHLER Alexandra,66.0,R,Won,15,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,HECHT Dar,135.0,R,HOU Guangjuan,59.0,R,Won,15,13
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,BRUNNER Pauline,25.0,L,SHIN A Lam,,,Won,12,11
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,VITALIS Coraline,9.0,R,NELIP Ewa,18.0,R,Won,15,14
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,BELJAJEVA Julia,17.0,R,EMBRICH Irina,61.0,L,Loss,7,15
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,KNAPIK-MIAZGA Renata,44.0,L,BEZHURA Dzhoan Feybi,56.0,R,Loss,7,8
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,FIAMINGO Rossella,21.0,L,FERNANDEZ CALLEJA Sara,94.0,R,Won,15,6
Women,Epee,2018/2019,Championnats du Monde (Wuxi),19-07-2018,OISHI Kanna,124.0,R,POPESCU Ana Maria,7.0,L,Loss,9,15
