athleteId,hand,rank
1455,L,98.0
1510,L,387.0
1684,R,
2130,R,703.0
2245,R,
2611,R,30.0
2653,R,
2767,R,590.0
3039,R,
3378,R,
3652,L,247.0
4057,R,31.0
4164,L,53.0
4212,R,124.0
4288,L,
4388,R,125.0
4485,L,259.0
4633,R,86.0
4955,L,8.0
5194,R,419.0
5250,R,10.0
5355,R,281.0
5443,L,149.0
5505,R,
5623,R,
5815,R,86.0
5966,R,597.0
6023,R,
6189,R,
6219,R,
6433,R,49.0
6847,R,
7227,R,61.0
7718,R,
8025,R,
8244,L,411.0
8506,R,39.0
8746,R,34.0
9163,R,
9283,R,24.0
9370,L,61.0
9426,R,24.0
9599,R,351.0
9733,R,6.0
9835,R,18.0
9993,R,1.0
10183,R,35.0
10250,R,424.0
10379,R,40.0
10556,R,
10773,R,
10813,R,79.0
11021,R,56.0
11122,R,572.0
11494,R,106.0
12054,R,
12127,R,
12269,R,13.0
12376,R,
12428,R,78.0
12532,L,59.0
12611,R,3.0
12691,L,51.0
12963,R,48.0
13138,R,
13412,L,209.0
13436,R,43.0
13485,R,
13682,R,123.0
13725,R,291.0
13869,R,46.0
13949,R,
14212,R,
14432,L,
14496,R,
14698,R,273.0
14734,R,344.0
14940,R,
14997,R,16.0
15071,R,
15163,R,21.0
15200,R,112.0
15335,L,190.0
15354,R,150.0
15411,R,60.0
15615,R,151.0
15780,R,136.0
15807,R,746.0
15860,R,1.0
16021,R,91.0
16112,R,166.0
16335,R,
16385,R,73.0
16420,R,
16463,R,44.0
16728,R,396.0
16790,R,152.0
17054,R,
17138,L,227.0
17179,L,71.0
17386,R,668.0
17455,R,203.0
17514,R,120.0
17576,L,443.0
17622,L,102.0
17715,L,137.0
17757,R,222.0
17770,R,29.0
17929,R,83.0
17966,R,237.0
18031,L,16.0
18172,R,
18311,R,806.0
18417,R,330.0
18515,L,35.0
18610,R,58.0
18683,R,24.0
18739,R,
18861,L,53.0
18901,R,343.0
18949,R,6.0
18996,R,79.0
19090,R,85.0
19240,R,
19425,R,
19547,L,
19588,R,959.0
19616,R,65.0
19820,R,73.0
19869,R,207.0
19926,L,23.0
19943,R,
20043,R,155.0
20094,R,
20135,R,146.0
20344,R,
20450,R,17.0
20487,R,124.0
20538,R,81.0
20593,R,238.0
20632,R,69.0
20659,R,
20744,R,5.0
20789,R,
20882,L,617.0
20903,R,93.0
20944,L,
21004,R,159.0
21049,R,147.0
21099,R,
21179,L,250.0
21253,R,122.0
21409,L,175.0
21484,R,56.0
21560,R,184.0
21608,R,246.0
21667,R,249.0
21717,R,7.0
21767,R,55.0
21916,R,303.0
21943,R,
22008,R,309.0
22065,R,
22143,R,
22214,R,169.0
22285,R,43.0
22353,R,151.0
22363,R,26.0
22435,R,73.0
22462,R,276.0
22535,R,426.0
22559,R,9.0
22654,R,370.0
22668,R,323.0
22733,R,
22805,R,209.0
22832,R,119.0
22907,R,223.0
22961,R,201.0
23021,R,31.0
23061,R,
23238,R,70.0
