Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
244,A64,LEE Kwanghyun,25142,KOR,ASRANOV Mukhammad Yusuf,50893,UZB,Won,15,10,R,32.0,L,220.0
244,A64,WOJTKOWIAK Adrian,33646,POL,TOFALIDES Alex,22256,CYP,Loss,7,15,R,60.0,L,70.0
244,A64,GALUASHVILI Lasha,35233,GEO,RZADKOWSKI Andrzej,30289,POL,Loss,10,15,R,,R,102.0
244,A64,WINTERBERG-POULSEN Jonas,37282,DEN,PRATS Mathieu Cheickh Jaques,55859,MLI,Won,15,11,L,95.0,R,99.0
244,A64,MARINO Nicolas,39515,ARG,SPOLJAR Borna,45857,CRO,Loss,9,15,L,139.0,R,73.0
244,A64,KALIYEV Tamirlan,31040,KAZ,RAJSKI Leszek,5452,POL,Loss,6,15,R,144.0,R,42.0
244,A64,CUK Veljko,40915,SRB,DE GREEF Stef,35143,BEL,Loss,13,15,R,87.0,L,44.0
244,A64,SADULLAEV Doniyor,34986,UZB,AGUIRRE Cesar,28906,VEN,Won,15,10,L,365.0,R,317.0
244,A64,HAMILTON Bogdan,51136,CAN,BROSZUS Blake,39391,CAN,Loss,10,15,R,59.0,L,56.0
244,A64,TOTH Gergely,49825,HUN,HEO Jun,16436,KOR,Loss,6,15,R,197.0,R,
244,A64,CHEN Chih Chieh,43300,TPE,ALVARES DE OLIVEIRA Victor,51538,CPV,Won,15,7,R,78.0,R,52.0
244,A64,SIESS Michal,28616,POL,NIGOSANTI Andrea,52580,ARG,Won,15,9,R,34.0,R,86.0
244,A64,KHALIFA Abdalla,46682,QAT,KAHL Alexander,30314,GER,Loss,12,15,R,335.0,R,35.0
244,A64,POSCHARNIG Johannes,14560,AUT,ETTELT Maximilian,26869,AUT,Loss,14,15,L,131.0,R,179.0
244,A64,KERYHUEL Jeremy Fafa,42585,CIV,CERVANTES Diego,42177,MEX,Loss,10,15,L,33.0,R,183.0
244,A64,LIU Patrick,45205,CAN,MAROSTEGA Pedro,30935,BRA,Loss,5,15,L,,R,125.0
244,A64,FILES Petar,30087,CRO,YOONG Hans Wei Shen,32419,MAS,Loss,11,15,R,103.0,R,355.0
244,A64,HASSAN Mohamed,34556,EGY,HOIDA Danyil,41923,UKR,Won,15,10,R,207.0,R,162.0
244,A64,ZENG Zhaoran,55800,CHN,IM Cheolwoo,31278,KOR,Loss,10,15,R,152.0,L,69.0
244,A64,EDIRI Alexandre,34638,FRA,LESKOVAC Janko,46551,CRO,Won,15,7,R,88.0,R,296.0
244,A64,FAUL Paul Luca,51529,GER,GARCIA-ALZORRIZ Roger,32394,ESP,Won,15,6,R,176.0,R,458.0
244,A64,KLEIN Luis,38990,GER,NAGANO Yudai,36173,JPN,Loss,11,15,R,111.0,R,29.0
244,A64,FINSTERBUSH Ori,46777,ISR,NEO Max Wei Kit,45107,SGP,Won,15,8,R,194.0,L,360.0
244,A64,SERRI Cedrik,20897,SVK,GAGANIDZE Luka,27268,GEO,Won,15,11,R,,R,239.0
244,A64,XU Jie,43549,CHN,DAVIS James-Andrew,17052,GBR,Won,15,10,R,25.0,L,115.0
244,B64,MASSIALAS Alexander,21958,USA,ETTELT Maximilian,26869,AUT,Won,15,12,R,8.0,R,179.0
244,B64,POGREBNIAK Andrii,15368,UKR,LLAVADOR Carlos,21966,ESP,Loss,9,15,L,85.0,L,15.0
244,B64,HA Taegyu,18861,KOR,SADULLAEV Doniyor,34986,UZB,Won,15,5,L,22.0,L,365.0
244,B64,SERRI Cedrik,20897,SVK,DOSA Daniel,29031,HUN,Loss,6,15,R,,L,17.0
244,B64,ABOUELKASSEM Alaaeldin,18031,EGY,CHOI Chun Yin Ryan,31438,HKG,Loss,13,15,L,27.0,L,20.0
244,B64,DE GREEF Stef,35143,BEL,TOLDO Guilherme,22963,BRA,Won,15,11,L,44.0,L,23.0
