Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MARINI Tommaso,5.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,SCHEMBRI Kruz,,R,BROSZUS Blake,73.0,L,Loss,8,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,PAUTY Maxime,15.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,SHIKINE Takahiro,16.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,IIMURA Kazuki,8.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,ABOUELKASSEM Alaaeldin,26.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,KERYHUEL Jeremy Fafa,29.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MASSIALAS Alexander,9.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,LEFORT Enzo,20.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,WAKIM Philippe,126.0,R,CHEN Yi-Tung,48.0,R,Loss,13,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHEN Haiwei,45.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MEINHARDT Gerek,11.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MO Ziwei,17.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,TOLDO Guilherme,24.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,ALVARES DE OLIVEIRA Victor,53.0,R,GU Daniel,77.0,R,Loss,9,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHEUNG Ka Long,1.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HAMZA Mohamed,7.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HEROUI Salim,161.0,L,JURKIEWICZ Jan,38.0,R,Loss,8,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HA Taegyu,44.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,LLAVADOR Carlos,12.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MACCHI Filippo,3.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,XU Jie,25.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MERTINE Julien,60.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MATSUYAMA Kyosuke,14.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHOUPENITCH Alexander,6.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,SIESS Michal,52.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,VAN HAASTER Maximilien,43.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,BIANCHI Guillaume,2.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,DOSA Daniel,19.0,L,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,TOLBA Abdelrahman Hussein,13.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,WOJTKOWIAK Adrian,68.0,R,TOFALIDES Alex,74.0,L,Loss,10,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,ITKIN Nick,4.0,R,,,,Loss,0,0
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MARINI Tommaso,5.0,R,BROSZUS Blake,73.0,L,Won,15,9
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,PAUTY Maxime,15.0,R,SHIKINE Takahiro,16.0,R,Won,15,9
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,IIMURA Kazuki,8.0,R,ABOUELKASSEM Alaaeldin,26.0,L,Won,15,8
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,KERYHUEL Jeremy Fafa,29.0,L,MASSIALAS Alexander,9.0,R,Loss,3,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,LEFORT Enzo,20.0,R,CHEN Yi-Tung,48.0,R,Won,15,12
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHEN Haiwei,45.0,L,MEINHARDT Gerek,11.0,R,Loss,7,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MO Ziwei,17.0,R,TOLDO Guilherme,24.0,L,Won,15,7
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,GU Daniel,77.0,R,CHEUNG Ka Long,1.0,L,Loss,5,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HAMZA Mohamed,7.0,L,JURKIEWICZ Jan,38.0,R,Won,15,14
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HA Taegyu,44.0,L,LLAVADOR Carlos,12.0,L,Loss,13,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MACCHI Filippo,3.0,L,XU Jie,25.0,R,Won,15,10
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MERTINE Julien,60.0,R,MATSUYAMA Kyosuke,14.0,L,Loss,6,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHOUPENITCH Alexander,6.0,R,SIESS Michal,52.0,R,Won,15,3
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,VAN HAASTER Maximilien,43.0,R,BIANCHI Guillaume,2.0,R,Loss,4,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,DOSA Daniel,19.0,L,TOLBA Abdelrahman Hussein,13.0,R,Loss,14,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,TOFALIDES Alex,74.0,L,ITKIN Nick,4.0,R,Loss,10,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MARINI Tommaso,5.0,R,PAUTY Maxime,15.0,R,Loss,14,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,IIMURA Kazuki,8.0,R,MASSIALAS Alexander,9.0,R,Won,15,8
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,LEFORT Enzo,20.0,R,MEINHARDT Gerek,11.0,R,Won,15,10
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MO Ziwei,17.0,R,CHEUNG Ka Long,1.0,L,Loss,10,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HAMZA Mohamed,7.0,L,LLAVADOR Carlos,12.0,L,Won,15,12
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MACCHI Filippo,3.0,L,MATSUYAMA Kyosuke,14.0,L,Won,15,11
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHOUPENITCH Alexander,6.0,R,BIANCHI Guillaume,2.0,R,Loss,5,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,TOLBA Abdelrahman Hussein,13.0,R,ITKIN Nick,4.0,R,Loss,8,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,PAUTY Maxime,15.0,R,IIMURA Kazuki,8.0,R,Loss,14,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,LEFORT Enzo,20.0,R,CHEUNG Ka Long,1.0,L,Loss,14,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,HAMZA Mohamed,7.0,L,MACCHI Filippo,3.0,L,Loss,9,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,BIANCHI Guillaume,2.0,R,ITKIN Nick,4.0,R,Loss,14,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,IIMURA Kazuki,8.0,R,CHEUNG Ka Long,1.0,L,Loss,11,15
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,MACCHI Filippo,3.0,L,ITKIN Nick,4.0,R,Won,15,11
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,CHEUNG Ka Long,1.0,L,MACCHI Filippo,3.0,L,Won,15,14
Men,Foil,2024/2025,Jeux Olympiques (Paris),29-07-2024,IIMURA Kazuki,8.0,R,ITKIN Nick,4.0,R,Loss,12,15
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BALZER Sara,5.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,KEHLI Zohra Nora,129.0,L,DAGHFOUS Yasmine,44.0,R,Loss,12,15
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,SKARBONKIEWICZ Magda,29.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,ERBIL Nisanur,16.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,CRISCIO Martina,32.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,SZUCS Luca Virag,14.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,TAKASHIMA Risa,61.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,ILIEVA Yoana,3.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,KHARLAN Olga,11.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,FUKUSHIMA Shihomi,58.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BASHTA Anna,46.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,YANG Hengyu,39.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,PUSZTAI Liza,15.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BATTISTON Michela,12.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,MARTON Anna,25.0,R,PAREDES TORRES Katherine F,96.0,R,Won,15,10
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,MARTIN-PORTUGUES Lucia,8.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,APITHY-BRUNET Manon,4.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BENADOUDA Chaima,151.0,R,SARYBAY Aigerim,45.0,R,Loss,9,15
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,DAYIBEKOVA Zaynab,19.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,YOON Jisu,20.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BERDER Cecilia,24.0,R,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,MORMILE Chiara,23.0,L,,,,Loss,0,0
Women,Sabre,2024/2025,Jeux Olympiques (Paris),29-07-2024,BRIND'AMOUR Pamela,34.0,R,,,,Loss,0,0
