Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
1305,A16,VICATOS Giselle,18346,RSA,TUKU Aphiwe,32964,RSA,Won,15,12,R,590.0,L,
1305,A16,BABELA Arsenelle,38675,CGO,GHRIB Nesrine,32451,TUN,Won,15,12,R,546.0,R,101.0
1305,A16,MANSOURI Maya,23070,TUN,EHAB Nardin,34912,EGY,Loss,14,15,L,54.0,R,72.0
1305,A16,DESOUKY Nourhan,37688,EGY,CARFOOT Tamryn,27366,RSA,Won,14,13,R,543.0,R,594.0
1305,A16,BARRETT Juliana,28959,RSA,GABER Shirwit,34915,EGY,Won,15,13,L,66.0,R,107.0
1305,A8,BESBES Sarra,12625,TUN,VICATOS Giselle,18346,RSA,Won,15,9,L,2.0,R,590.0
1305,A8,BABELA Arsenelle,38675,CGO,EHAB Nardin,34912,EGY,Loss,14,15,R,546.0,R,72.0
1305,A8,BEN JABALLAH Dorra,23074,TUN,DESOUKY Nourhan,37688,EGY,Loss,11,15,L,104.0,R,543.0
1305,A8,BARRETT Juliana,28959,RSA,MAHDY Ayah,26855,EGY,Loss,8,9,L,66.0,R,74.0
1305,A4,BESBES Sarra,12625,TUN,EHAB Nardin,34912,EGY,Won,15,6,L,2.0,R,72.0
1305,A4,DESOUKY Nourhan,37688,EGY,MAHDY Ayah,26855,EGY,Loss,9,13,R,543.0,R,74.0
1305,A2,BESBES Sarra,12625,TUN,MAHDY Ayah,26855,EGY,Won,15,3,L,2.0,R,74.0
1306,A32,DIALLO Cheikh Omar,19240,SEN,KABIKISSA Jelsy-Havel,33273,CGO,Won,15,12,R,,R,
1306,A32,GOMA LOUKOMBO Epiphane Rodes,38660,CGO,GUEYE Sire,24349,SEN,Loss,14,15,R,,R,
1306,A32,MANZINI Thulani,31060,RSA,TRAORE Nio,34935,MLI,Won,15,10,R,127.0,R,
1306,A32,HERGINO Ekabela,25677,COD,KADAM Babacar,19238,SEN,Loss,7,15,R,,L,119.0
1306,A32,COULIBALY Gaoussou,29555,MLI,ALHASSAN SAMBA Abubakari,33283,GHA,Won,15,5,R,,R,453.0
1306,A32,SEFULARO Keith Manyaneyane,27159,RSA,ANTONIO Adilson Jose F.,30964,FIE,Loss,11,15,R,117.0,R,
1306,A16,FAYEZ Ayman,13354,EGY,DIALLO Cheikh Omar,19240,SEN,Won,15,6,R,15.0,R,
1306,A16,MADUMA Sello Given,20669,RSA,DIABATE Keletigui Julien,35589,MLI,Won,15,12,R,,L,937.0
1306,A16,SAIF Mohannad,10070,EGY,GUEYE Sire,24349,SEN,Won,15,4,R,55.0,R,
1306,A16,MANZINI Thulani,31060,RSA,BUHDEIMA Khaled,28185,LBA,Loss,7,15,R,127.0,R,
