Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MYLNIKOV Vladislav,39.0,L,HEROUI Salim,108.0,L,Won,15,6
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,HUANG Mengkai,,L,CERVANTES Diego,69.0,R,Loss,14,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CAI Alex,316.0,R,JOPPICH Peter,276.0,R,Loss,12,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CHEUNG Siu Lun,98.0,R,SANITA Andre,145.0,L,Loss,14,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MEINHARDT Gerek,20.0,R,MYLNIKOV Vladislav,39.0,L,Loss,11,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,KLEIBRINK Benjamin,,L,ABOUELKASSEM Alaaeldin,6.0,L,Loss,11,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,SHIKINE Takahiro,10.0,R,SAMANDI Mohamed,,R,Won,15,4
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,VAN HAASTER Maximilien,28.0,R,CHOI Chun Yin Ryan,8.0,L,Loss,10,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,GAROZZO Daniele,5.0,R,HASSAN Mohamed,38.0,R,Won,15,6
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MATSUYAMA Kyosuke,,,PAUTY Maxime,94.0,R,Won,15,7
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,TOLDO Guilherme,22.0,L,SAITO Toshiya,34.0,R,Loss,10,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CERVANTES Diego,69.0,R,LEFORT Enzo,4.0,R,Loss,11,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MASSIALAS Alexander,15.0,R,JOPPICH Peter,276.0,R,Loss,12,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CHOUPENITCH Alexander,11.0,R,LLAVADOR Carlos,13.0,L,Won,15,11
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MEPSTEAD Marcus,21.0,R,HAMZA Mohamed,9.0,L,Loss,13,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,SCHENKEL Eli,49.0,R,CASSARA Andrea,231.0,L,Loss,11,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,ITKIN Nick,7.0,R,BORODACHEV Anton,30.0,R,Won,15,11
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,BORODACHEV Kirill,113.0,L,LEE Kwanghyun,,R,Won,15,14
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CHEUNG Ka Long,2.0,L,MERTINE Julien,105.0,R,Won,15,12
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,SANITA Andre,145.0,L,FOCONI Alessio,3.0,R,Loss,8,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,MYLNIKOV Vladislav,39.0,L,ABOUELKASSEM Alaaeldin,6.0,L,Loss,12,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,SHIKINE Takahiro,10.0,R,CHOI Chun Yin Ryan,8.0,L,Won,15,6
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,GAROZZO Daniele,5.0,R,MATSUYAMA Kyosuke,,,Won,15,14
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,SAITO Toshiya,34.0,R,LEFORT Enzo,4.0,R,Loss,4,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,JOPPICH Peter,276.0,R,CHOUPENITCH Alexander,11.0,R,Loss,13,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,HAMZA Mohamed,9.0,L,CASSARA Andrea,231.0,L,Won,15,13
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,ITKIN Nick,7.0,R,BORODACHEV Kirill,113.0,L,Loss,13,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,CHEUNG Ka Long,2.0,L,FOCONI Alessio,3.0,R,Won,15,3
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,ABOUELKASSEM Alaaeldin,6.0,L,SHIKINE Takahiro,10.0,R,Loss,13,15
Men,Foil,2021/2022,Jeux Olympiques (Tokyo),26-07-2021,GAROZZO Daniele,5.0,R,LEFORT Enzo,4.0,R,Won,15,10
