Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
244,A64,MYLNIKOV Vladislav,40354,ROC,HEROUI Salim,32434,ALG,Won,15,6,L,39.0,L,108.0
244,A64,HUANG Mengkai,34866,CHN,CERVANTES Diego,42177,MEX,Loss,14,15,L,,R,69.0
244,A64,CAI Alex,39143,CAN,JOPPICH Peter,3629,GER,Loss,12,15,R,316.0,R,276.0
244,A64,CHEUNG Siu Lun,12428,HKG,SANITA Andre,24117,GER,Loss,14,15,R,98.0,L,145.0
244,A32,MEINHARDT Gerek,14397,USA,MYLNIKOV Vladislav,40354,ROC,Loss,11,15,R,20.0,L,39.0
244,A32,KLEIBRINK Benjamin,3643,GER,ABOUELKASSEM Alaaeldin,18031,EGY,Loss,11,15,L,,L,6.0
244,A32,SHIKINE Takahiro,31919,JPN,SAMANDI Mohamed,10379,TUN,Won,15,4,R,10.0,R,
244,A32,VAN HAASTER Maximilien,17929,CAN,CHOI Chun Yin Ryan,31438,HKG,Loss,10,15,R,28.0,L,8.0
244,A32,GAROZZO Daniele,19821,ITA,HASSAN Mohamed,34556,EGY,Won,15,6,R,5.0,R,38.0
244,A32,MATSUYAMA Kyosuke,29076,JPN,PAUTY Maxime,25513,FRA,Won,15,7,,,R,94.0
244,A32,TOLDO Guilherme,22963,BRA,SAITO Toshiya,30489,JPN,Loss,10,15,L,22.0,R,34.0
244,A32,CERVANTES Diego,42177,MEX,LEFORT Enzo,22555,FRA,Loss,11,15,R,69.0,R,4.0
244,A32,MASSIALAS Alexander,21958,USA,JOPPICH Peter,3629,GER,Loss,12,15,R,15.0,R,276.0
244,A32,CHOUPENITCH Alexander,21765,CZE,LLAVADOR Carlos,21966,ESP,Won,15,11,R,11.0,L,13.0
244,A32,MEPSTEAD Marcus,10213,GBR,HAMZA Mohamed,37194,EGY,Loss,13,15,R,21.0,L,9.0
244,A32,SCHENKEL Eli,19616,CAN,CASSARA Andrea,4423,ITA,Loss,11,15,R,49.0,L,231.0
244,A32,ITKIN Nick,36441,USA,BORODACHEV Anton,40355,ROC,Won,15,11,R,7.0,R,30.0
244,A32,BORODACHEV Kirill,37878,ROC,LEE Kwanghyun,25142,KOR,Won,15,14,L,113.0,R,
244,A32,CHEUNG Ka Long,30878,HKG,MERTINE Julien,17449,FRA,Won,15,12,L,2.0,R,105.0
244,A32,SANITA Andre,24117,GER,FOCONI Alessio,15860,ITA,Loss,8,15,L,145.0,R,3.0
244,A16,MYLNIKOV Vladislav,40354,ROC,ABOUELKASSEM Alaaeldin,18031,EGY,Loss,12,15,L,39.0,L,6.0
244,A16,SHIKINE Takahiro,31919,JPN,CHOI Chun Yin Ryan,31438,HKG,Won,15,6,R,10.0,L,8.0
244,A16,GAROZZO Daniele,19821,ITA,MATSUYAMA Kyosuke,29076,JPN,Won,15,14,R,5.0,,
244,A16,SAITO Toshiya,30489,JPN,LEFORT Enzo,22555,FRA,Loss,4,15,R,34.0,R,4.0
244,A16,JOPPICH Peter,3629,GER,CHOUPENITCH Alexander,21765,CZE,Loss,13,15,R,276.0,R,11.0
244,A16,HAMZA Mohamed,37194,EGY,CASSARA Andrea,4423,ITA,Won,15,13,L,9.0,L,231.0
244,A16,ITKIN Nick,36441,USA,BORODACHEV Kirill,37878,ROC,Loss,13,15,R,7.0,L,113.0
244,A16,CHEUNG Ka Long,30878,HKG,FOCONI Alessio,15860,ITA,Won,15,3,L,2.0,R,3.0
244,A8,ABOUELKASSEM Alaaeldin,18031,EGY,SHIKINE Takahiro,31919,JPN,Loss,13,15,L,6.0,R,10.0
244,A8,GAROZZO Daniele,19821,ITA,LEFORT Enzo,22555,FRA,Won,15,10,R,5.0,R,4.0
244,A8,CHOUPENITCH Alexander,21765,CZE,HAMZA Mohamed,37194,EGY,Won,15,9,R,11.0,L,9.0
244,A8,BORODACHEV Kirill,37878,ROC,CHEUNG Ka Long,30878,HKG,Loss,14,15,L,113.0,L,2.0
244,A4,SHIKINE Takahiro,31919,JPN,GAROZZO Daniele,19821,ITA,Loss,9,15,R,10.0,R,5.0
244,A4,CHOUPENITCH Alexander,21765,CZE,CHEUNG Ka Long,30878,HKG,Loss,10,15,R,11.0,L,2.0
244,A2,GAROZZO Daniele,19821,ITA,CHEUNG Ka Long,30878,HKG,Loss,11,15,R,5.0,L,2.0
244,C2,SHIKINE Takahiro,31919,JPN,CHOUPENITCH Alexander,21765,CZE,Loss,8,15,R,10.0,R,11.0
245,A64,MOHAMED BELKEBIR Kaouther,42867,ALG,YANG Hengyu,34904,CHN,Loss,1,15,R,126.0,R,40.0
