Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Foil,2023,World Championships (Milan),24-07-2023,BRETEAU Ignacio,91.0,R,YUNES Klod,114.0,R,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Chun Yin Ryan,20.0,L,VAN CAMPENHOUT Stef,63.0,L,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEN Yi-Tung,43.0,R,ROSENFELD Roey Eliyahu,189.0,R,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,LAZARENKO Ievgen,271.0,R,NIJS Mathieu,123.0,L,Won,14,13
Men,Foil,2023,World Championships (Milan),24-07-2023,CHOI Nicholas Edward,55.0,R,NEMETH Andras,141.0,R,Won,15,12
Men,Foil,2023,World Championships (Milan),24-07-2023,LEE Kwanghyun,32.0,R,ASRANOV Mukhammad Yusuf,220.0,L,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,WOJTKOWIAK Adrian,60.0,R,TOFALIDES Alex,70.0,L,Loss,7,15
Men,Foil,2023,World Championships (Milan),24-07-2023,GALUASHVILI Lasha,,R,RZADKOWSKI Andrzej,102.0,R,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,WINTERBERG-POULSEN Jonas,95.0,L,PRATS Mathieu Cheickh Jaques,99.0,R,Won,15,11
Men,Foil,2023,World Championships (Milan),24-07-2023,MARINO Nicolas,139.0,L,SPOLJAR Borna,73.0,R,Loss,9,15
Men,Foil,2023,World Championships (Milan),24-07-2023,KALIYEV Tamirlan,144.0,R,RAJSKI Leszek,42.0,R,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CUK Veljko,87.0,R,DE GREEF Stef,44.0,L,Loss,13,15
Men,Foil,2023,World Championships (Milan),24-07-2023,SADULLAEV Doniyor,365.0,L,AGUIRRE Cesar,317.0,R,Won,15,10
Men,Foil,2023,World Championships (Milan),24-07-2023,HAMILTON Bogdan,59.0,R,BROSZUS Blake,56.0,L,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,TOTH Gergely,197.0,R,HEO Jun,,R,Loss,6,15
Men,Foil,2023,World Championships (Milan),24-07-2023,CHEN Chih Chieh,78.0,R,ALVARES DE OLIVEIRA Victor,52.0,R,Won,15,7
Men,Foil,2023,World Championships (Milan),24-07-2023,SIESS Michal,34.0,R,NIGOSANTI Andrea,86.0,R,Won,15,9
Men,Foil,2023,World Championships (Milan),24-07-2023,KHALIFA Abdalla,335.0,R,KAHL Alexander,35.0,R,Loss,12,15
Men,Foil,2023,World Championships (Milan),24-07-2023,POSCHARNIG Johannes,131.0,L,ETTELT Maximilian,179.0,R,Loss,14,15
Men,Foil,2023,World Championships (Milan),24-07-2023,KERYHUEL Jeremy Fafa,33.0,L,CERVANTES Diego,183.0,R,Loss,10,15
Men,Foil,2023,World Championships (Milan),24-07-2023,LIU Patrick,,L,MAROSTEGA Pedro,125.0,R,Loss,5,15
Men,Foil,2023,World Championships (Milan),24-07-2023,FILES Petar,103.0,R,YOONG Hans Wei Shen,355.0,R,Loss,11,15
