Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
108,A256,DOMINGUEZ Jose Felix,11034,ARG,PETROV Roman,32874,KGZ,Loss,13,14,R,179.0,R,105.0
108,A256,ROSELLO Pau,16126,ESP,PITRA Pavel,14506,CZE,Loss,12,15,R,210.0,R,9.0
108,A256,THOMPSON Soren,6745,USA,HARTMANN Florian,22704,AUT,Won,15,6,R,,R,597.0
108,A256,SCHMIDT Richard,24074,GER,CORDEIRO Joao,10109,POR,Loss,8,15,L,195.0,L,87.0
108,A256,PAULOUSKI Dzianis,32920,BLR,SUN Dongdong,33013,CHN,Loss,6,15,L,149.0,R,
108,A256,SVALHEIM Anders,12072,NOR,REIN Stephan,12532,GER,Won,15,12,R,405.0,L,59.0
108,A256,ABAJO Jose Luis,2380,ESP,HADZIC Alen,23320,USA,Won,15,13,R,98.0,,
108,A256,VON DER OSTEN Frederik,8793,DEN,BIJKER Peter,5192,NED,Won,15,7,R,148.0,L,
108,A256,PETERDI Andras,9648,HUN,NECKOVIC Vladan,6845,SRB,Won,9,3,R,135.0,R,664.0
108,A256,JIANG Chenyang,29256,CHN,NOLLNER Dylan,23664,USA,Won,15,12,L,205.0,R,
108,A256,SAIF Mohannad,10070,EGY,YARINOVSKY Roman,18684,ISR,Won,15,11,R,46.0,R,1006.0
108,A256,CAROZZO Stefano,10266,ITA,BOJTE Yusuf,17983,TUR,Won,15,7,L,,R,
108,A256,BIDA Sergey,23681,RUS,SANTARELLI Andrea,24055,ITA,Won,15,8,L,92.0,R,30.0
108,A256,NICKEL Heinz,27360,CHI,ALEXANIN Dmitriy,20867,KAZ,Loss,10,15,R,157.0,L,54.0
108,A256,BAS Marcel,19573,POL,TAUFFENBERGER Arnaud,13004,CAN,Won,14,10,R,288.0,L,
108,A256,SOKOLOVSKI Vitali,21540,BLR,HEIDECKER Pascal,17948,CAN,Loss,12,15,R,189.0,R,964.0
108,A256,KUCHALSKI Tim,26386,GER,AJZENSTADT Ido,7292,ISR,Won,15,8,L,209.0,R,913.0
108,A256,HERNANDEZ Dimas Ernesto,28896,MEX,TRAGER Matthew,12642,ITA,Won,15,11,R,,L,
108,A256,NIGGELER Michele,23747,SUI,BUHDEIMA Khaled,28185,LBA,Loss,10,11,R,143.0,R,115.0
108,A256,GUSTAVSSON Christian,26017,SWE,ROD Max,21745,POR,Loss,9,15,,,L,202.0
108,A256,FEROT Francois Xavier,21916,BEL,BAYER Thorsten,3454,GER,Won,15,8,R,825.0,R,
108,A256,HOFER Nikolaus,1613,AUT,TACCANI Alessandro,21004,ARG,Won,15,12,L,1063.0,R,103.0
108,A256,POP Adrian,7910,ROU,BELLMANN Lukas,27862,GER,Won,15,11,R,151.0,R,304.0
108,A256,VIDEIRA Joaquim,5581,POR,BRUTTINI Lorenzo,21943,ITA,Won,15,12,R,136.0,R,138.0
108,A256,HEREY Anatoliy,15354,UKR,ROSLANDER Kasper,21510,FIN,Won,12,1,R,61.0,R,141.0
108,A256,GLUHIC Gal,28054,SLO,JIAO Yunlong,18907,CHN,Loss,5,15,R,604.0,R,19.0
108,A256,GLEBKO Anton,17758,RUS,PIREK Valentin,21600,SUI,Won,11,7,R,96.0,L,284.0
108,A256,KIM Dongha,34631,KOR,TSINIS Alexander,10335,USA,Won,15,12,L,,L,298.0
108,A256,HAYASHI Shigeki,20437,JPN,REGIBEAU Gaspard,23889,BEL,Won,15,13,L,971.0,R,963.0
108,A256,NYCZ Mateusz,15780,POL,MORATILLA Miguel,20571,ESP,Loss,12,15,R,220.0,R,106.0
108,A256,INOSTROZA BUDINICH Paris A.,2076,CHI,SZILAGYI Adrian Ciprian,17761,ROU,Loss,10,15,R,107.0,R,114.0
108,A256,MULTERER Niklas,15735,GER,PRYOR Jason,12094,USA,Won,15,14,R,84.0,R,58.0
108,A256,BRINCK-CROTEAU Maxime,11494,CAN,KEREKES Erwin,22542,GER,Loss,14,15,R,44.0,R,
108,A256,LUGONES RUGGERI Jesus Andres,28887,ARG,GOLOBIC Jan,20823,SLO,Won,15,8,R,133.0,L,412.0
108,A256,GUILLEMIN Leland,17931,CAN,LAHTINEN Alexander,14523,FIN,Loss,13,15,R,108.0,R,132.0
108,A256,CUPR Michal,18600,CZE,YAU Shun Him Himson,28841,HKG,Won,15,14,R,1057.0,R,721.0
108,A256,RIVERA RIVERA Christian J.,30989,PUR,SBARCIA Alin,5707,ROU,Loss,9,15,L,182.0,R,539.0
108,A256,BADGER Peregrine,23520,USA,KOMAROMY-POROS Csongor,28934,HUN,Won,15,11,L,874.0,R,1102.0
108,A256,REIZLIN Igor,6433,UKR,TONG Chun Kit Jonathan,25352,HKG,Won,15,2,R,130.0,R,959.0
108,A256,JARL Henrik,23744,SWE,SOMFAI Peter,4212,HUN,Loss,3,15,L,332.0,R,75.0
