Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,DOMINGUEZ Jose Felix,179.0,R,PETROV Roman,105.0,R,Loss,13,14
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,ROSELLO Pau,210.0,R,PITRA Pavel,9.0,R,Loss,12,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,THOMPSON Soren,,R,HARTMANN Florian,597.0,R,Won,15,6
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,SCHMIDT Richard,195.0,L,CORDEIRO Joao,87.0,L,Loss,8,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,PAULOUSKI Dzianis,149.0,L,SUN Dongdong,,R,Loss,6,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,SVALHEIM Anders,405.0,R,REIN Stephan,59.0,L,Won,15,12
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,ABAJO Jose Luis,98.0,R,HADZIC Alen,,,Won,15,13
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,VON DER OSTEN Frederik,148.0,R,BIJKER Peter,,L,Won,15,7
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,PETERDI Andras,135.0,R,NECKOVIC Vladan,664.0,R,Won,9,3
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,JIANG Chenyang,205.0,L,NOLLNER Dylan,,R,Won,15,12
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,SAIF Mohannad,46.0,R,YARINOVSKY Roman,1006.0,R,Won,15,11
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,CAROZZO Stefano,,L,BOJTE Yusuf,,R,Won,15,7
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,BIDA Sergey,92.0,L,SANTARELLI Andrea,30.0,R,Won,15,8
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,NICKEL Heinz,157.0,R,ALEXANIN Dmitriy,54.0,L,Loss,10,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,BAS Marcel,288.0,R,TAUFFENBERGER Arnaud,,L,Won,14,10
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,SOKOLOVSKI Vitali,189.0,R,HEIDECKER Pascal,964.0,R,Loss,12,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,KUCHALSKI Tim,209.0,L,AJZENSTADT Ido,913.0,R,Won,15,8
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,HERNANDEZ Dimas Ernesto,,R,TRAGER Matthew,,L,Won,15,11
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,NIGGELER Michele,143.0,R,BUHDEIMA Khaled,115.0,R,Loss,10,11
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,GUSTAVSSON Christian,,,ROD Max,202.0,L,Loss,9,15
Men,Epee,2014/2015,Heidenheimer Pokal (Heidenheim),14-02-2014,FEROT Francois Xavier,825.0,R,BAYER Thorsten,,R,Won,15,8
