Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
242,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,09-08-2016,Epee,Men,2016
243,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,10-08-2016,Foil,Women,2016
245,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,08-08-2016,Sabre,Women,2016
246,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,10-08-2016,Sabre,Men,2016
241,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,06-08-2016,Epee,Women,2016
244,Jeux Olympiques (Rio de Janeiro),Rio de Janeiro,07-08-2016,Foil,Men,2016
797,Championnats Panaméricains (Panama),Panama,21-06-2016,Epee,Women,2016
798,Championnats Panaméricains (Panama),Panama,21-06-2016,Foil,Men,2016
799,Championnats Panaméricains (Panama),Panama,22-06-2016,Epee,Men,2016
800,Championnats Panaméricains (Panama),Panama,23-06-2016,Foil,Women,2016
801,Championnats Panaméricains (Panama),Panama,22-06-2016,Sabre,Women,2016
802,Championnats Panaméricains (Panama),Panama,23-06-2016,Sabre,Men,2016
738,Championnats d'Europe (TORUN),TORUN,22-06-2016,Epee,Women,2016
739,Championnats d'Europe (TORUN),TORUN,21-06-2016,Epee,Men,2016
740,Championnats d'Europe (TORUN),TORUN,21-06-2016,Foil,Women,2016
741,Championnats d'Europe (TORUN),TORUN,20-06-2016,Foil,Men,2016
742,Championnats d'Europe (TORUN),TORUN,20-06-2016,Sabre,Women,2016
743,Championnats d'Europe (TORUN),TORUN,22-06-2016,Sabre,Men,2016
145,Grand Prix (Shanghai),Shanghai,03-06-2016,Foil,Men,2016
457,Grand Prix (Shanghai),Shanghai,03-06-2016,Foil,Women,2016
162,Sabre de Moscou (Moscow),Moscow,27-05-2016,Sabre,Men,2016
676,Grand Prix (Moscow),Moscow,28-05-2016,Sabre,Women,2016
451,Coupe du Monde (Legnano),Legnano,20-05-2016,Epee,Women,2016
111,Challenge SNCF Réseau (Paris),Paris,20-05-2016,Epee,Men,2016
1226,Tournoi satellite sabre féminin (Reykjavik),Reykjavik,21-05-2016,Sabre,Women,2016
1317,Tournoi satellite sabre masculin (Reykjavik),Reykjavik,22-05-2016,Sabre,Men,2016
122,Reinhold-Würth-Cup (Tauberbischofsheim),Tauberbischofsheim,20-05-2016,Foil,Women,2016
471,Coupe du Monde (Foshan),Foshan,13-05-2016,Sabre,Women,2016
474,Villa de Madrid (Madrid),Madrid,13-05-2016,Sabre,Men,2016
486,St Duje' s Cup (Split),Split,14-05-2016,Epee,Women,2016
1022,St Duje Cup (Split),Split,14-05-2016,Epee,Men,2016
147,Fleuret de St-Petersbourg (St-Petersbourg),St-Petersbourg,13-05-2016,Foil,Men,2016
1280,Trekanten International (Copenhague),Copenhague,07-05-2016,Foil,Men,2016
1281,Trekanten International (Copenhague),Copenhague,08-05-2016,Foil,Women,2016
185,Cole Cup (Londres),Londres,07-05-2016,Sabre,Men,2016
393,Cole Cup (Londres),Londres,08-05-2016,Epee,Women,2016
1224,Tournoi satellite (Londres),Londres,07-05-2016,Sabre,Women,2016
95,Grand Prix - test event (Rio de Janeiro),Rio de Janeiro,22-04-2016,Epee,Women,2016
113,Grand Prix - test event (Rio de Janeiro),Rio de Janeiro,22-04-2016,Epee,Men,2016
584,Championnats d'Afrique (Alger),Alger,15-04-2016,Epee,Women,2016
585,Championnats d'Afrique (Alger),Alger,15-04-2016,Epee,Men,2016
586,Championnats d'Afrique (Alger),Alger,15-04-2016,Foil,Women,2016
587,Championnats d'Afrique (Alger),Alger,15-04-2016,Foil,Men,2016
588,Championnats d'Afrique (Alger),Alger,15-04-2016,Sabre,Women,2016
589,Championnats d'Afrique (Alger),Alger,15-04-2016,Sabre,Men,2016
1059,Championnats de qualification - Afrique (Alger),Alger,14-04-2016,Epee,Women,2016
1060,Championnats de qualification - Afrique (Alger),Alger,14-04-2016,Epee,Men,2016
1061,Championnats de qualification - Afrique (Alger),Alger,14-04-2016,Foil,Women,2016
1062,Championnats de qualification - Afrique (Alger),Alger,14-04-2016,Foil,Men,2016
1063,Championnats de qualification - Afrique (Alger),Alger,14-04-2016,Sabre,Women,2016
1064,Championnats de qualification- Afrique (Alger),Alger,14-04-2016,Sabre,Men,2016
1077,Championnats de qualification européens (Prague),Prague,17-04-2016,Epee,Women,2016
1078,Championnats de qualification européens (Prague),Prague,16-04-2016,Epee,Men,2016
1079,Championnats de qualification européens (Prague),Prague,16-04-2016,Foil,Women,2016
1080,Championnats de qualification européens (Prague),Prague,17-04-2016,Foil,Men,2016
1081,Championnats de qualification européens (Prague),Prague,17-04-2016,Sabre,Women,2016
1082,Championnats de qualification européens (Prague),Prague,16-04-2016,Sabre,Men,2016
1071,Championnats de qualification panaméricains (San-Jose),San-Jose,17-04-2016,Epee,Women,2016
1072,Championnats de qualifications panaméricains (San-Jose),San-Jose,16-04-2016,Epee,Men,2016
1073,Championnats de qualifications panaméricains (San-Jose),San-Jose,15-04-2016,Foil,Women,2016
1074,Championnats de qualifications panaméricains (San-Jose),San-Jose,17-04-2016,Foil,Men,2016
1075,Championnats de qualification panaméricains (San-Jose),San-Jose,16-04-2016,Sabre,Women,2016
1076,Championnats de qualification panaméricains (San-Jose),San-Jose,15-04-2016,Sabre,Men,2016
1010,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Epee,Men,2016
1011,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Sabre,Women,2016
1012,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Foil,Men,2016
1013,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Epee,Women,2016
1014,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Foil,Women,2016
1015,Championnats asiatiques (Wuxi),Wuxi,13-04-2016,Sabre,Men,2016
1065,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,11-04-2016,Epee,Women,2016
1066,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,12-04-2016,Epee,Men,2016
1067,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,11-04-2016,Foil,Women,2016
1068,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,12-04-2016,Foil,Men,2016
1069,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,12-04-2016,Sabre,Women,2016
1070,Championnats de qualification Asie-Océanie (Wuxi),Wuxi,11-04-2016,Sabre,Men,2016
165,Grand Prix (Seoul),Seoul,25-03-2016,Sabre,Men,2016
468,Grand Prix (Seoul),Seoul,25-03-2016,Sabre,Women,2016
112,WESTEND Grand Prix (Budapest),Budapest,18-03-2016,Epee,Men,2016
449,WESTEND Grand Prix (Budapest),Budapest,18-03-2016,Epee,Women,2016
484,Tournoi satellite (Rome),Rome,19-03-2016,Sabre,Women,2016
186,Normann Jørgensen Cup (Copenhague),Copenhague,12-03-2016,Sabre,Men,2016
121,Grand Prix (La Havane),La Havane,11-03-2016,Foil,Women,2016
