Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
242,A64,BERAN Jiri,2224,CZE,SCHWANTES Athos,8609,BRA,Loss,6,8,R,22.0,R,236.0
242,A64,FERREIRA Nicolas,22961,BRA,LIMARDO Francisco,12246,VEN,Loss,9,15,R,348.0,R,59.0
242,A64,RODRIGUEZ John Edison,21208,COL,KARYUCHENKO Dmytro,6398,UKR,Won,15,7,L,34.0,R,211.0
242,A64,MELARAGNO Guilherme,26988,BRA,JIAO Yunlong,18907,CHN,Loss,13,15,R,,R,
242,A64,REDLI Andras,4202,HUN,ALSHATTI Abdulaziz,20382,IOA,Won,14,13,R,19.0,R,170.0
242,A64,JUNG Jinsun,4958,KOR,FERNANDEZ Silvio,10139,VEN,Won,15,8,R,9.0,R,
242,A32,GRUMIER Gauthier,2853,FRA,SCHWANTES Athos,8609,BRA,Won,15,7,L,,R,236.0
242,A32,LIMARDO GASCON Ruben,10222,VEN,FAYEZ Ayman,13354,EGY,Loss,5,15,L,8.0,R,35.0
242,A32,MINOBE Kazuyasu,20488,JPN,FICHERA Marco,24097,ITA,Won,15,8,L,16.0,R,4.0
242,A32,AVDEEV Anton,9991,RUS,VERWIJLEN Bas,5250,NED,Won,15,9,L,,R,43.0
242,A32,JERENT Daniel,22557,FRA,LIMARDO Francisco,12246,VEN,Loss,14,15,R,7.0,R,59.0
242,A32,NOVOSJOLOV Nikolai,2620,EST,PARK Kyoungdoo,10786,KOR,Won,12,10,R,3.0,R,5.0
242,A32,BOCZKO Gabor,4035,HUN,BOUZAID Alexandre,2736,SEN,Won,15,9,R,,L,36.0
242,A32,RODRIGUEZ John Edison,21208,COL,IMRE Geza,4098,HUN,Loss,8,15,L,34.0,L,
242,A32,NIKISHIN Bogdan,6424,UKR,JIAO Yunlong,18907,CHN,Won,15,11,R,10.0,R,
242,A32,PRYOR Jason,12094,USA,STEFFEN Benjamin,6086,SUI,Loss,14,15,R,60.0,L,55.0
242,A32,KAUTER Fabian,6022,SUI,HEREY Anatolii,15354,UKR,Won,15,9,R,201.0,R,42.0
242,A32,REDLI Andras,4202,HUN,BOREL Yannick,19856,FRA,Loss,9,15,R,19.0,R,1.0
242,A32,ANOKHIN Vadim,22390,RUS,BRINCK-CROTEAU Maxime,11494,CAN,Won,15,14,R,27.0,R,93.0
242,A32,PIZZO Paolo,4633,ITA,HEINZER Max,6000,SUI,Loss,11,15,R,2.0,R,14.0
242,A32,SUKHOV Pavel,13829,RUS,PARK Sangyoung,31102,KOR,Loss,11,15,R,25.0,R,15.0
242,A32,JUNG Jinsun,4958,KOR,GAROZZO Enrico,15163,ITA,Loss,11,15,R,9.0,R,12.0
242,A16,GRUMIER Gauthier,2853,FRA,FAYEZ Ayman,13354,EGY,Won,15,9,L,,R,35.0
242,A16,MINOBE Kazuyasu,20488,JPN,AVDEEV Anton,9991,RUS,Won,15,12,L,16.0,L,
