Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SANTARELLI Andrea,20.0,R,NYCZ Mateusz,193.0,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,CIMINI Gabriele,94.0,R,KITAMURA Naoyuki,207.0,R,Won,15,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SHARLAIMOV Vadim,212.0,R,FERRARIS Luca,165.0,L,Loss,11,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,STAUB Florian,,R,ALLIKA Marno,210.0,L,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,VALLOSIO Andrea,112.0,R,BAS Marcel,279.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KALININ Alexey,110.0,R,PETERDI Andras,156.0,R,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SZENYI Peter,206.0,R,MORATILLA Miguel,221.0,R,Won,10,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,HERZBERG Fabian,91.0,R,NGUYEN Tien Nhat,,R,Loss,13,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SCHMIER Robert,902.0,R,DABIJA Adrian,172.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BORSKY Peer,111.0,R,DAGANI Elia,336.0,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,MA Segeon,168.0,L,UYAMA Satoru,13.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BESKIN Grigori,74.0,R,ADEL Abdelrahman,,R,Won,14,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,LIMARDO Francisco,59.0,R,LELION Jean,,R,Loss,9,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FARDZINOV Alan,58.0,R,VUORINEN Niko,44.0,L,Won,15,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SHI Gaofeng,152.0,R,ISLAS FLYGARE Linus,277.0,R,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,POP Adrian,,R,MOODY Jimmy,,R,Won,5,4
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NIGGELER Michele,39.0,R,BIANCHIN Mark,,R,Won,15,5
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,CHO TAEUN Sandor,935.0,R,HERPE Ido,46.0,R,Loss,12,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,MEDVEDIEV Vitalii,,R,PIASECKI Bartosz,,R,Won,14,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BERTA Daniel,97.0,L,SIKLOSI Gergely,114.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BAKOS Balint,342.0,L,BRAUN Rico,204.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,LUCENAY Jean-Michel,11.0,L,ALEKSANDROV Roman,196.0,R,Won,15,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KNEIP Christoph,,R,PELLETIER Vincent,915.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,VINNICKY Ariel,433.0,R,ADAIKIN Dmitriy,,R,Loss,13,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PAULOUSKI Dzianis,197.0,L,FONG Kiu,47.0,R,Loss,8,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,DERYABIN Ivan,214.0,L,ADAMEK Michal,,R,Loss,11,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,TYMOSHENKO Ruslan,810.0,R,FONSON Erwan,,R,Loss,11,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FIEDLER Joerg,,L,LAHTINEN Alexander,200.0,R,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,USMANOV Nadirbek,303.0,R,TIKHOMIROV Alexey,,R,Loss,7,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BELLMANN Lukas,61.0,R,PIZZO Paolo,2.0,R,Loss,10,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,GOLOBIC Jan,333.0,L,FICHERA Marco,4.0,R,Loss,8,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FERREIRA Nicolas,348.0,R,BINO Gabriele,313.0,R,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,TARANENKO Yuriy,818.0,R,GUNPUT Satya,40.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ELSOKKARY Ahmad,116.0,L,BACKER Fredrik,320.0,L,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,DRIZIN Ariel,219.0,R,JIMENEZ ORTIZ Aaron Jose,,R,Won,15,13
