Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
176,A128,CHEN Hsu Peng,25746,TPE,NG Daryl Jing Jun,42523,SIN,Won,15,12
176,A128,TAM Ka Kit,22437,HKG,YE Jian Hua,42673,TPE,Loss,9,15
176,A64,FONG Kiu,22435,HKG,CHEN Zhong-Jin,42675,TPE,Won,15,7
176,A64,HO Hon Kiu,40166,HKG,SYU Zih Siang,42687,TPE,Loss,3,15
176,A64,TENG Chi-Shan,8558,TPE,FU Chih Ping,42434,TPE,Won,15,10
176,A64,JIANG Yu Jie,42702,TPE,YAU Shun Him Himson,28841,HKG,Loss,7,15
176,A64,CHIN Jui Chi,18815,TPE,LIN Ying Chung,42684,TPE,Won,15,7
176,A64,ODLE Eric,42528,USA,YANG I Ting,29435,TPE,Loss,7,15
176,A64,HSU Chih-Cheng,42699,TPE,CHIU Hsuan Chih,37206,TPE,Loss,4,13
176,A64,KAM Chun Ho,40148,HKG,HSU Chun Yu,18814,TPE,Loss,9,15
176,A64,LEE Samson Mun Hou,18264,SIN,LI Wei-Hao,42690,TPE,Won,15,6
176,A64,CHOU Ho-Chung,42670,TPE,MAK Lok Man,35243,HKG,Won,15,11
176,A64,CHU Hayson,40024,HKG,YIP Chung Yam,25247,HKG,Won,15,13
176,A64,CHEN Kuan Kai,42682,TPE,HSIEH Po-Hsien,21340,TPE,Won,15,12
176,A64,LIN Yung Chun,33152,TPE,WU Sheng Wen,31136,TPE,Loss,10,15
176,A64,LEE Thomas Tong Kai,31526,SIN,WANG Chi-Chu,8586,TPE,Loss,9,15
176,A64,YANG Kai Fan,6330,TPE,LIN Yen-Yu,42668,TPE,Loss,11,15
176,A64,SU Yung-Cheng,42681,TPE,HO Sze Hou,30882,HKG,Loss,11,15
176,A64,TING Hong Kai,34690,TPE,HUANG Jui-Che,42731,TPE,Won,15,12
176,A64,LIN Tzi Yao,42707,TPE,PENG Chen Yu,42692,TPE,Loss,11,15
176,A64,LAI Clarence Ka Tsun,20782,HKG,GOH Zhen Ping,42488,SIN,Won,15,4
176,A64,LU Weichen Austin,40320,SIN,RADFORD Kristian,18947,AUS,Loss,7,15
176,A64,LIM Wei Wen,21124,SIN,CHANG Yu Chen,42691,TPE,Won,15,9
176,A64,TAN Weixuan,37346,SIN,LIN Sheng Hsiang,6312,TPE,Won,15,10
176,A64,HSU Chieh Wei,37702,TPE,LEE Samuel,31043,SIN,Loss,14,15
176,A64,LAU Kam Tan,8640,HKG,TONG Chun Kit Jonathan,25352,HKG,Loss,8,15
176,A64,LEE Bang You,42686,TPE,CHEUNG Shu Sum,35242,HKG,Won,15,10
176,A64,WU Shi-Hung,42706,TPE,FANG Ting Wei,42705,TPE,Loss,10,15
176,A64,TSUI Yiu Chung,8641,HKG,GREEN Jake,42529,USA,Won,15,7
176,A64,CHEN Hsu Peng,25746,TPE,SU Wen Hsien,40244,TPE,Won,15,10
176,A64,CHEN Tsung Lin,35402,TPE,CHANG Ming-Chun,42730,TPE,Won,15,10
176,A64,HSU Ching Wen,37212,TPE,WU Yu Ting,34689,TPE,Loss,8,15
176,A64,HUANG Sheng Chi,34699,TPE,LIU Sheh-Hung,42689,TPE,Won,13,8
176,A64,YE Jian Hua,42673,TPE,CHUANG Po Yu,34634,TPE,Loss,14,15
