Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
1041,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Epee,Women,2017
1042,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Epee,Men,2017
1043,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Foil,Women,2017
1044,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Foil,Men,2017
1045,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Sabre,Women,2017
1046,South East Asian Games (Kuala Lumpur),Kuala Lumpur,21-08-2017,Sabre,Men,2017
1091,2017 Summer Universiade (Taipei),Taipei,20-08-2017,Epee,Women,2017
1092,2017 Summer Universiades (Taipei),Taipei,20-08-2017,Epee,Men,2017
1093,2017 Summer Universiades (Taipei),Taipei,20-08-2017,Foil,Women,2017
1094,2017 Summer Universiades (Taipei),Taipei,20-08-2017,Foil,Men,2017
1095,2017 Summer Universiades (Taipei),Taipei,20-08-2017,Sabre,Women,2017
1096,2017 Summer Universiade (Taipei),Taipei,20-08-2017,Sabre,Men,2017
241,Championnats du Monde (Leipzig),Leipzig,20-07-2017,Epee,Women,2017
242,Championnats du Monde (Leipzig),Leipzig,19-07-2017,Epee,Men,2017
243,Championnats du Monde (Leipzig),Leipzig,19-07-2017,Foil,Women,2017
244,Championnats du Monde (Leipzig),Leipzig,20-07-2017,Foil,Men,2017
245,Championnats du Monde (Leipzig),Leipzig,20-07-2017,Sabre,Women,2017
246,Championnats du Monde (Leipzig),Leipzig,19-07-2017,Sabre,Men,2017
1010,Championnats asiatiques (Hong Kong),Hong Kong,16-06-2017,Epee,Men,2017
1011,Championnats asiatiques (Hong Kong),Hong Kong,15-06-2017,Sabre,Women,2017
1012,Championnats asiatiques (Hong Kong),Hong Kong,15-06-2017,Foil,Men,2017
1013,Championnats asiatiques (Hong Kong),Hong Kong,17-06-2017,Epee,Women,2017
1014,Championnats asiatiques (Hong Kong),Hong Kong,16-06-2017,Foil,Women,2017
1015,Championnats asiatiques (Hong Kong),Hong Kong,17-06-2017,Sabre,Men,2017
797,Championnats Panaméricains (Montreal),Montreal,13-06-2017,Epee,Women,2017
798,Championnats Panaméricains (Montreal),Montreal,13-06-2017,Foil,Men,2017
799,Championnats Panaméricains (Montreal),Montreal,14-06-2017,Epee,Men,2017
800,Championnats Panaméricains (Montreal),Montreal,15-06-2017,Foil,Women,2017
