Competition ID,Competition Name,Location,Start Date,Weapon,Gender,Season
241,Championnats du Monde (Budapest),Budapest,05-08-2013,Epee,Women,2013
242,Championnats du Monde (Budapest),Budapest,06-08-2013,Epee,Men,2013
243,Championnats du Monde (Budapest),Budapest,05-08-2013,Foil,Women,2013
244,Championnats du Monde (Budapest),Budapest,06-08-2013,Foil,Men,2013
245,Championnats du Monde (Budapest),Budapest,06-08-2013,Sabre,Women,2013
246,Championnats du Monde (Budapest),Budapest,05-08-2013,Sabre,Men,2013
1091,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Epee,Women,2013
1092,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Epee,Men,2013
1093,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Foil,Women,2013
1094,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Foil,Men,2013
1095,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Sabre,Women,2013
1096,2013 Summer Universiade (Kazan),Kazan,07-07-2013,Sabre,Men,2013
584,Championnats d'Afrique (Cape Town),Cape Town,26-06-2013,Epee,Women,2013
585,Championnats d'Afrique (Cape Town),Cape Town,27-06-2013,Epee,Men,2013
586,Championnats d'Afrique (Cape Town),Cape Town,25-06-2013,Foil,Women,2013
587,Championnats d'Afrique (Cape Town),Cape Town,26-06-2013,Foil,Men,2013
588,Championnats d'Afrique (Cape Town),Cape Town,27-06-2013,Sabre,Women,2013
589,Championnats d'Afrique (Cape Town),Cape Town,25-06-2013,Sabre,Men,2013
797,Championnats Panaméricains (Cartagena),Cartagena,18-06-2013,Epee,Women,2013
798,Championnats Panaméricains (Cartagena),Cartagena,17-06-2013,Foil,Men,2013
801,Championnats Panaméricains (Cartagena),Cartagena,17-06-2013,Sabre,Women,2013
802,Championnats Panaméricains (Cartagena),Cartagena,18-06-2013,Sabre,Men,2013
1139,Jeux méditerranéens (Mersin),Mersin,22-06-2013,Epee,Men,2013
1140,Jeux méditerranéens (Mersin),Mersin,22-06-2013,Foil,Women,2013
1141,Jeux méditerranéens (Mersin),Mersin,22-06-2013,Sabre,Women,2013
1142,Jeux méditerranéens (Mersin),Mersin,23-06-2013,Epee,Women,2013
1143,Jeux méditerranéens (Mersin),Mersin,23-06-2013,Foil,Men,2013
1144,Jeux méditerranéens (Mersin),Mersin,23-06-2013,Sabre,Men,2013
799,Championnats Panaméricains (Cartagena),Cartagena,16-06-2013,Epee,Men,2013
800,Championnats Panaméricains (Cartagena),Cartagena,16-06-2013,Foil,Women,2013
738,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Epee,Women,2013
739,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Epee,Men,2013
740,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Foil,Women,2013
741,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Foil,Men,2013
742,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Sabre,Women,2013
743,Championnats d'Europe (Zagreb),Zagreb,16-06-2013,Sabre,Men,2013
1010,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Epee,Men,2013
1011,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Sabre,Women,2013
1012,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Foil,Men,2013
1013,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Epee,Women,2013
1014,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Foil,Women,2013
1015,Championnats asiatiques (Shanghai),Shanghai,04-06-2013,Sabre,Men,2013
111,Jockey Club Argentino (Buenos Aires),Buenos Aires,24-05-2013,Epee,Men,2013
95,Grand Prix (La Havane),La Havane,23-05-2013,Epee,Women,2013
147,Copa Villa La Habana (La Havane),La Havane,24-05-2013,Foil,Men,2013
457,Grand Prix (Marseille),Marseille,24-05-2013,Foil,Women,2013
676,Coupe du Monde (Tianjin),Tianjin,25-05-2013,Sabre,Women,2013
451,Epée internationale (Rio de Janeiro),Rio de Janeiro,17-05-2013,Epee,Women,2013
520,Tournoi satellite epee feminine (Split),Split,18-05-2013,Epee,Women,2013
793,Tournoi satellite (Split),Split,18-05-2013,Epee,Men,2013
165,Sabre de Wolodyjowski (Varsovie),Varsovie,18-05-2013,Sabre,Men,2013
113,TISSOT Grand Prix de Berne (Berne),Berne,11-05-2013,Epee,Men,2013
398,Tournoi satellite fleuret masculin (Copenhague),Copenhague,11-05-2013,Foil,Men,2013
185,Tournoi satellite sabre masculin (Reykjavik),Reykjavik,12-05-2013,Sabre,Men,2013
484,Tournoi satellite sabre féminin (Reykjavik),Reykjavik,11-05-2013,Sabre,Women,2013
471,Absolute Fencing Korfanty World Cup (Chicago),Chicago,03-05-2013,Sabre,Women,2013
474,Absolute Fencing Korfanty World Cup (Chicago),Chicago,03-05-2013,Sabre,Men,2013
104,Challenge Réseau Ferré de France – Trophée Monal (Paris),Paris,03-05-2013,Epee,Men,2013
122,Coupe du Monde (Shanghai),Shanghai,03-05-2013,Foil,Women,2013
145,Prince Takamado WC (Tokyo),Tokyo,04-05-2013,Foil,Men,2013
160,Coupe Akropolis (Athènes),Athènes,26-04-2013,Sabre,Men,2013
186,Cole Cup (Newcastle),Newcastle,27-04-2013,Sabre,Men,2013
485,Cole Cup (Newcastle),Newcastle,27-04-2013,Sabre,Women,2013
486,Cole Cup (Newcastle),Newcastle,27-04-2013,Epee,Women,2013
121,SK Trophée Séoul (Séoul),Séoul,27-04-2013,Foil,Women,2013
138,SK Trophée Séoul (Séoul),Séoul,26-04-2013,Foil,Men,2013
449,Tournoi international (Xuzhou),Xuzhou,27-04-2013,Epee,Women,2013
142,Löwe von Bonn (Bonn),Bonn,22-03-2013,Foil,Men,2013
397,Tournoi satellite fleuret féminin (Copenhague),Copenhague,24-03-2013,Foil,Women,2013
