athleteId,hand,rank
1427,R,239.0
1487,L,
1644,R,
1686,R,365.0
1834,R,
1936,R,
2003,R,73.0
2104,R,
2200,R,120.0
2228,R,155.0
2301,R,
2427,R,73.0
2601,R,
2649,R,318.0
2670,R,
2839,R,37.0
2924,L,19.0
2988,R,113.0
3149,R,171.0
3324,R,297.0
3473,L,368.0
3544,L,193.0
3642,R,
3702,R,
3913,R,434.0
4010,R,
4098,L,4.0
4178,R,
4204,R,97.0
4236,R,
4276,R,6.0
4304,R,
4364,L,33.0
4396,R,
4436,R,
4467,R,587.0
4519,L,684.0
4585,L,14.0
4629,L,
4704,L,35.0
4896,R,
4958,R,43.0
5112,R,80.0
5250,R,12.0
5312,R,
5368,R,47.0
5397,R,72.0
5464,R,
5490,L,61.0
5557,R,
5624,R,176.0
5690,L,
5722,L,528.0
5774,L,216.0
5815,R,33.0
5840,R,70.0
5898,R,277.0
6022,R,11.0
6086,L,8.0
6194,R,323.0
6227,R,
6368,R,543.0
6414,R,42.0
6496,R,160.0
6834,R,
7209,R,165.0
7292,R,318.0
7621,R,62.0
7739,R,77.0
7910,R,336.0
8025,R,
8141,R,
8264,R,
8284,L,25.0
8485,R,
8586,R,
8613,R,187.0
8793,R,34.0
9082,R,
9119,R,348.0
9182,L,39.0
9309,R,
9387,R,80.0
9554,R,404.0
9641,R,388.0
9691,R,609.0
9744,R,59.0
9782,R,113.0
9846,L,251.0
9871,R,195.0
9959,L,311.0
9993,R,1.0
10051,R,116.0
10139,R,87.0
10207,L,
10259,R,
10357,R,26.0
10397,L,26.0
10405,R,
10485,R,21.0
10605,L,
10688,R,15.0
10760,R,279.0
10794,L,20.0
10817,R,145.0
10977,R,366.0
11064,R,331.0
11119,R,
11357,L,
11513,L,
11731,R,173.0
11924,R,122.0
12072,R,526.0
12151,R,
12216,R,58.0
12269,R,12.0
12347,R,
12425,R,62.0
12507,R,20.0
12562,R,31.0
12611,R,15.0
12636,,
12691,L,21.0
12721,R,
12780,R,32.0
12827,R,
13090,R,75.0
13209,R,235.0
13262,R,
13368,R,
13415,R,137.0
13432,R,275.0
13459,L,21.0
13485,R,347.0
13643,R,9.0
13709,R,28.0
13727,R,
13829,R,18.0
13888,R,80.0
13949,R,
14005,L,
14354,R,
14438,R,96.0
14477,R,
14523,R,214.0
14691,R,162.0
14815,R,221.0
14920,R,197.0
14946,R,
14971,R,278.0
15094,R,450.0
15141,R,266.0
15200,R,96.0
15305,R,
15345,R,185.0
15354,R,23.0
15377,R,700.0
15411,R,301.0
15504,R,97.0
15567,R,252.0
15686,R,70.0
15738,R,175.0
15788,R,655.0
15804,R,71.0
15860,R,31.0
15984,L,113.0
16054,R,
16112,R,497.0
16207,R,230.0
16380,R,352.0
16392,R,22.0
16399,R,
16436,R,17.0
16479,R,
16744,R,162.0
16779,R,48.0
16847,R,315.0
17033,R,478.0
17054,R,180.0
17138,L,278.0
17179,L,63.0
17240,R,220.0
17331,L,
17413,R,130.0
17452,L,280.0
17481,R,53.0
17515,R,161.0
17554,R,115.0
17600,R,40.0
17660,R,933.0
17686,R,396.0
17746,R,869.0
17758,R,238.0
17823,R,5.0
17895,L,128.0
17931,R,
17965,R,42.0
18019,R,340.0
18070,L,205.0
18099,R,117.0
18259,R,177.0
18311,R,631.0
18369,R,181.0
18432,L,61.0
18498,R,230.0
18576,R,
18600,R,834.0
18626,R,52.0
18684,R,
18733,L,81.0
18815,R,
18835,R,
18881,L,5.0
18926,R,
18973,L,12.0
19009,R,454.0
19045,R,
19091,R,
19159,R,951.0
19240,R,
19384,L,218.0
19430,R,
19526,R,
19573,R,315.0
19595,R,140.0
19630,R,91.0
19675,L,
19695,R,134.0
19803,R,
19830,L,208.0
19869,R,184.0
19926,L,166.0
19949,L,121.0
20025,R,
20072,L,
20126,R,227.0
20179,R,37.0
20250,R,394.0
20437,L,
20483,R,115.0
20538,R,269.0
20576,R,
20601,R,109.0
20620,R,317.0
20647,L,165.0
20669,R,
20714,R,350.0
20756,R,355.0
20782,L,248.0
20867,L,92.0
20893,R,
20911,L,
20938,R,58.0
20964,R,78.0
21025,R,
21072,R,474.0
21097,R,
21106,R,642.0
21164,R,92.0
21217,R,223.0
21273,R,
21437,R,181.0
21488,R,
21510,R,213.0
21543,R,
21584,L,72.0
21620,R,404.0
21636,R,
21705,R,31.0
21717,R,4.0
21745,L,200.0
21767,R,57.0
21828,R,99.0
21916,R,880.0
21958,R,1.0
22013,R,198.0
22027,R,
22053,R,
22072,R,134.0
22104,L,
22145,R,400.0
22165,L,62.0
22209,R,533.0
22252,R,19.0
22279,R,339.0
22319,R,127.0
22339,L,220.0
22354,R,114.0
22363,R,62.0
22401,R,64.0
22449,R,34.0
22468,R,237.0
22512,R,
22540,R,
22559,R,16.0
22599,L,85.0
22650,L,
22660,L,116.0
22732,R,219.0
22777,L,
22806,R,193.0
22832,R,235.0
22913,R,106.0
22963,L,25.0
23032,R,
23057,R,
23079,L,94.0
23143,R,
23218,R,430.0
23253,R,173.0
23334,R,
23374,R,472.0
23398,L,13.0
23441,R,
23469,R,189.0
23509,R,
23524,R,522.0
23566,R,437.0
23590,L,341.0
23663,R,116.0
23697,R,617.0
23728,R,297.0
23754,R,593.0
23807,R,584.0
23830,R,
23917,R,
23986,R,151.0
24053,R,194.0
24074,L,818.0
24107,R,
24155,R,254.0
24221,R,155.0
24274,R,
24313,R,
24377,R,328.0
24408,R,101.0
24438,R,
24463,R,194.0
24483,L,
24495,R,123.0
24551,R,414.0
24578,R,624.0
24627,R,418.0
24663,R,355.0
24724,R,267.0
24758,R,
24785,L,545.0
24856,R,
24885,R,403.0
24895,R,
24974,R,205.0
24994,R,249.0
25040,L,50.0
25080,R,252.0
25100,R,
25128,R,479.0
25150,L,
25172,R,
25185,R,51.0
25192,L,85.0
25206,R,215.0
25212,R,4.0
25293,L,72.0
25352,R,
25398,L,301.0
25455,R,519.0
25512,R,
25532,R,380.0
25540,R,
25597,R,45.0
25687,L,100.0
25817,L,538.0
25834,L,75.0
25853,R,
25897,L,524.0
