season,competitionId,name,location,country,startDate,endDate,weapon,gender,hasResults
2005,244,Championnats du Monde,Leipzig,germany,10-10-2005,11-10-2005,foil,men,1
2005,242,Championnats du Monde,Leipzig,germany,08-10-2005,09-10-2005,epee,men,1
2005,246,Championnats du Monde,Leipzig,germany,09-10-2005,10-10-2005,sabre,men,1
2005,415,Universiades,Izmir,türkiye,11-08-2005,19-08-2005,epee,men,0
2005,417,Universiades,Izmir,türkiye,11-08-2005,19-08-2005,foil,men,0
2005,419,Universiades,Izmir,türkiye,11-08-2005,19-08-2005,sabre,men,0
2005,401,Championnats Asiatiques,Sabah,malaysia,25-07-2005,25-07-2005,epee,men,0
2005,403,Championnats Asiatiques,Sabah,malaysia,27-07-2005,27-07-2005,foil,men,0
2005,405,Championnats Asiatiques,Sabah,malaysia,26-07-2005,26-07-2005,sabre,men,0
2005,116,Coupe du Monde,Téhéran,iran,16-07-2005,17-07-2005,epee,men,1
2005,168,Grand Prix,Téhéran,iran,15-07-2005,16-07-2005,sabre,men,1
2005,105,Epée Internationale,Vancouver,canada,08-07-2005,09-07-2005,epee,men,1
2005,463,Coupe du Monde,Vancouver,canada,09-07-2005,10-07-2005,foil,men,1
2005,146,Copa Venezuela,Carabobo,venezuela,02-07-2005,03-07-2005,foil,men,1
2005,115,Copa Mundial de Puerto Rico,Carolina,puerto rico,02-07-2005,03-07-2005,epee,men,1
2005,290,Championnats d'Europe seniors,Zalaegerszeg,hungary,27-06-2005,03-07-2005,epee,men,0
2005,292,Championnats d'Europe seniors,Zalaegerszeg,hungary,27-06-2005,03-07-2005,foil,men,0
2005,294,Championnats d'Europe seniors,Zalaegerszeg,hungary,27-06-2005,03-07-2005,sabre,men,0
2005,504,Jeux Méditerranéens,Almeria,spain,25-06-2005,27-06-2005,epee,men,0
2005,507,Jeux Méditerranéens,Almeria,spain,25-06-2005,27-06-2005,foil,men,0
2005,508,Jeux Méditerranéens,Almeria,spain,25-06-2005,27-06-2005,sabre,men,0
2005,106,Coupe du Monde,Bogota,colombia,24-06-2005,25-06-2005,epee,men,1
2005,147,Copa Villa La Habana,La Havane,cuba,24-06-2005,25-06-2005,foil,men,1
2005,162,Glaive D’Asparoukh,Sofia,bulgaria,25-06-2005,26-06-2005,sabre,men,1
2005,111,Jockey Club Argentino,Buenos Aires,argentina,18-06-2005,19-06-2005,epee,men,1
2005,186,Tournoi satellite sabre masculin,Newcastle,great britain,18-06-2005,19-06-2005,sabre,men,1
2005,476,Grand Prix,Barquisimeto,venezuela,10-06-2005,11-06-2005,sabre,men,1
2005,185,Tournoi satellite sabre masculin,Reykjavik,iceland,11-06-2005,12-06-2005,sabre,men,1
2005,99,Coupe Vitalis Lisboa,Lisbonne,portugal,04-06-2005,05-06-2005,epee,men,1
2005,474,Candidature A,Santiago,chile,03-06-2005,04-06-2005,sabre,men,1
2005,184,Tournoi satellite sabre masculin,Helsinki,finland,29-05-2005,29-05-2005,sabre,men,1
2005,475,Grand Prix,Thies,senegal,27-05-2005,28-05-2005,sabre,men,1
2005,163,Trophée Luxardo,Padoue,italy,20-05-2005,21-05-2005,sabre,men,1
2005,98,Glaive de Tallin,Tallin,estonia,21-05-2005,22-05-2005,epee,men,1
2005,143,Coupe d'Espinho,Espinho,portugal,14-05-2005,15-05-2005,foil,men,1
2005,165,Sabre de Wolodyjowski,Varsovie,poland,13-05-2005,14-05-2005,sabre,men,1
2005,142,Löwe von Bonn,Bonn,germany,07-05-2005,08-05-2005,foil,men,1
2005,109,Trophée Carroccio,Legnano,italy,06-05-2005,07-05-2005,epee,men,1
2005,164,Villa de Madrid,Madrid,spain,06-05-2005,07-05-2005,sabre,men,1
2005,491,Candidature A,Alger,algeria,30-04-2005,01-05-2005,sabre,men,1
2005,108,Heidenheimer Pokal,Heidenheim,germany,29-04-2005,30-04-2005,epee,men,1
2005,134,Fleuret de St-Petersbourg,St-Petersbourg,russia,25-03-2005,26-03-2005,foil,men,1
2005,398,Tournoi satellite fleuret masculin,Copenhague,denmark,19-03-2005,20-03-2005,foil,men,1
2005,136,World Cup,Le Caire,egypt,18-03-2005,19-03-2005,foil,men,1
