season,competitionId,name,location,country,startDate,endDate,weapon,gender,hasResults
2018,242,Championnats du Monde,Wuxi,china,20-07-2018,23-07-2018,epee,men,1
2018,244,Championnats du Monde,Wuxi,china,21-07-2018,24-07-2018,foil,men,1
2018,246,Championnats du Monde,Wuxi,china,19-07-2018,22-07-2018,sabre,men,1
2018,1010,Championnats Asiatiques,Bangkok,thailand,18-06-2018,18-06-2018,epee,men,1
2018,1015,Championnats Asiatiques,Bangkok,thailand,19-06-2018,19-06-2018,sabre,men,1
2018,743,Championnats d'Europe,Novi Sad,serbia,18-06-2018,18-06-2018,sabre,men,1
2018,1139,Jeux méditerranéens,Tarragona,spain,24-06-2018,25-06-2018,epee,men,0
2018,1012,Championnats Asiatiques,Bangkok,thailand,17-06-2018,17-06-2018,foil,men,1
2018,798,Championnats Panaméricains,La Havane,cuba,16-06-2018,16-06-2018,foil,men,1
2018,799,Championnats Panaméricains,La Havane,cuba,15-06-2018,15-06-2018,epee,men,1
2018,802,Championnats Panaméricains,La Havane,cuba,17-06-2018,17-06-2018,sabre,men,1
2018,739,Championnats d'Europe,Novi Sad,serbia,17-06-2018,17-06-2018,epee,men,1
2018,741,Championnats d'Europe,Novi Sad,serbia,16-06-2018,16-06-2018,foil,men,1
2018,585,Championnats d'Afrique,Tunis,tunisia,06-06-2018,06-06-2018,epee,men,1
2018,587,Championnats d'Afrique,Tunis,tunisia,05-06-2018,05-06-2018,foil,men,1
2018,589,Championnats d'Afrique,Tunis,tunisia,07-06-2018,07-06-2018,sabre,men,1
2018,113, Epee Grand Prix ,Cali,colombia,25-05-2018,27-05-2018,epee,men,1
2018,1331,Tournoi Satelite,Copenhague,denmark,26-05-2018,26-05-2018,foil,men,1
2018,474,Villa de Madrid,Madrid,spain,18-05-2018,19-05-2018,sabre,men,1
2018,1277,Tournoi satellite,San-Jose,costa rica,19-05-2018,20-05-2018,epee,men,1
2018,145,Grand Prix,Shanghai,china,19-05-2018,20-05-2018,foil,men,1
2018,1330,Tournoi Satelite,Bucarest,romania,12-05-2018,13-05-2018,foil,men,1
2018,162,Grand Prix,Moscow,russia,11-05-2018,12-05-2018,sabre,men,1
2018,111,Challenge SNCF Réseau,Paris,france,11-05-2018,12-05-2018,epee,men,1
2018,147,Fleuret de St-Petersbourg,St-Petersbourg,russia,04-05-2018,05-05-2018,foil,men,1
2018,1317,Tournoi satellite sabre masculin,Reykjavik,iceland,29-04-2018,29-04-2018,sabre,men,1
2018,1022,St Duje Cup,Split,croatia,28-04-2018,28-04-2018,epee,men,1
2018,165,Grand Prix,Seoul,korea,30-03-2018,01-04-2018,sabre,men,1
2018,112,WESTEND Grand Prix,Budapest,hungary,23-03-2018,25-03-2018,epee,men,1
2018,1280,Tournoi Satellite,Zacatecas City,mexico,23-03-2018,24-03-2018,foil,men,1
2018,140,Absolute Fencing Gear® Grand Prix,"Anaheim, California",usa,16-03-2018,18-03-2018,foil,men,1
2018,394,Tournoi satellite,Turku,finland,17-03-2018,17-03-2018,epee,men,1
2018,176,Tournoi Satellite,Ashkelon,israel,24-02-2018,24-02-2018,epee,men,1
2018,1219,Tournoi satellite,Barcelone,spain,24-02-2018,25-02-2018,foil,men,1
2018,160,Sabre de Wolodyjowski,Varsovie,poland,23-02-2018,24-02-2018,sabre,men,1
2018,104,Coupe du Monde,Vancouver,canada,16-02-2018,17-02-2018,epee,men,1
2018,138,Löwe von Bonn,Bonn,germany,09-02-2018,10-02-2018,foil,men,1
2018,796,Tournoi Satellite,"La Paz, Baja California Sur",mexico,10-02-2018,11-02-2018,epee,men,1
2018,156,Trophée Luxardo,Padoue,italy,02-02-2018,03-02-2018,sabre,men,1
2018,98,Heidenheimer Pokal,Heidenheim,germany,25-01-2018,26-01-2018,epee,men,1
2018,186,Tournoi Satellite,Tbilisi,georgia,28-01-2018,28-01-2018,sabre,men,1
2018,142,Challenge International de Paris,Paris,france,19-01-2018,20-01-2018,foil,men,1
2018,554,SAF-Pokalen,Stockholm,sweden,13-01-2018,13-01-2018,epee,men,1
2018,158,Sabre Grand Prix,Cancun,mexico,15-12-2017,17-12-2017,sabre,men,1
2018,387,Grand Prix du Qatar,Doha,qatar,08-12-2017,10-12-2017,epee,men,1
2018,163,Coupe du Monde,Györ,hungary,01-12-2017,02-12-2017,sabre,men,1
2018,134,Grand Prix,Turin,italy,01-12-2017,03-12-2017,foil,men,1
2018,398,Memorial de Martinengo Tournoi,Bratislava,slovakia,18-11-2017,19-11-2017,foil,men,1
2018,108,Coupe du Monde,Legnano,italy,17-11-2017,18-11-2017,epee,men,1
2018,656,Tournoi satellite ,Dublin,ireland,11-11-2017,11-11-2017,epee,men,1
2018,137,Prince Takamodo WC,Tokyo,japan,10-11-2017,11-11-2017,foil,men,1
2018,164,Coupe du Monde ,Alger,algeria,03-11-2017,04-11-2017,sabre,men,1
2018,171,Tournoi Satellite,Oslo,norway,04-11-2017,05-11-2017,epee,men,1
2018,385,Coupe du Monde,Berne,switzerland,27-10-2017,28-10-2017,epee,men,1
2018,184,Camden London Tournoi satellite sabre masculin,Londres,great britain,29-10-2017,29-10-2017,sabre,men,1
2018,135,Coupe du Monde,Le Caire,egypt,20-10-2017,21-10-2017,foil,men,1
2018,172,Tournoi satellite,Gand,belgium,15-10-2017,15-10-2017,sabre,men,1
2018,178,Tournoi Satellite,Genève,switzerland,07-10-2017,07-10-2017,epee,men,1
2018,182,Tournoi satellite sabre masculin,Amsterdam,netherlands,24-09-2017,24-09-2017,sabre,men,1
2018,391,Tournoi satellite,Amsterdam,netherlands,23-09-2017,23-09-2017,foil,men,1
2018,174,Tournoi Satellite,Belgrade,serbia,23-09-2017,23-09-2017,epee,men,1
2018,392,Tournoi Satellite,Londres,great britain,17-09-2017,17-09-2017,foil,men,1
2018,241,Championnats du Monde,Wuxi,china,19-07-2018,22-07-2018,epee,women,1
2018,243,Championnats du Monde,Wuxi,china,20-07-2018,23-07-2018,foil,women,1
2018,245,Championnats du Monde,Wuxi,china,21-07-2018,24-07-2018,sabre,women,1
2018,1013,Championnats Asiatiques,Bangkok,thailand,19-06-2018,19-06-2018,epee,women,1
2018,1014,Championnats Asiatiques,Bangkok,thailand,18-06-2018,18-06-2018,foil,women,1
2018,738,Championnats d'Europe,Novi Sad,serbia,18-06-2018,18-06-2018,epee,women,1
2018,1140,Jeux méditerranéens,Tarragona,spain,24-06-2018,25-06-2018,foil,women,0
2018,1141,Jeux méditerranéens,Tarragona,spain,24-06-2018,24-06-2018,sabre,women,0
2018,1142,Jeux méditerranéens,Tarragona,spain,24-06-2018,25-06-2018,epee,women,0
2018,1011,Championnats Asiatiques,Bangkok,thailand,17-06-2018,17-06-2018,sabre,women,1
2018,797,Championnats Panaméricains,La Havane,cuba,16-06-2018,16-06-2018,epee,women,1
2018,800,Championnats Panaméricains,La Havane,cuba,17-06-2018,17-06-2018,foil,women,1
2018,801,Championnats Panaméricains,La Havane,cuba,15-06-2018,15-06-2018,sabre,women,1
2018,740,Championnats d'Europe,Novi Sad,serbia,17-06-2018,17-06-2018,foil,women,1
2018,742,Championnats d'Europe,Novi Sad,serbia,16-06-2018,16-06-2018,sabre,women,1
2018,584,Championnats d'Afrique,Tunis,tunisia,05-06-2018,05-06-2018,epee,women,1
2018,586,Championnats d'Afrique,Tunis,tunisia,07-06-2018,07-06-2018,foil,women,1
2018,588,Championnats d'Afrique,Tunis,tunisia,06-06-2018,06-06-2018,sabre,women,1
2018,471,Coupe du Monde,Tunis,tunisia,01-06-2018,02-06-2018,sabre,women,1
2018,484,Tournoi satellite,Antalya,türkiye,27-05-2018,27-05-2018,sabre,women,1
2018,95,Epee Grand Prix,Cali,colombia,25-05-2018,27-05-2018,epee,women,1
2018,1377,Tournoi Satelite,Copenhague,denmark,27-05-2018,27-05-2017,foil,women,1
2018,486,Tournoi Satellite,San-Jose,costa rica,19-05-2018,20-05-2018,epee,women,1
2018,457,Grand Prix,Shanghai,china,18-05-2018,20-05-2018,foil,women,1
2018,1356,Tournoi Satellite,Bucarest,romania,13-05-2018,13-05-2018,foil,women,1
2018,676,Grand Prix,Moscow,russia,12-05-2018,13-05-2018,sabre,women,1
2018,451,Coupe du Monde,Dubai,united arab emirates,04-05-2018,05-05-2018,epee,women,1
2018,485,Tournoi satellite,Reykjavik,iceland,28-04-2018,28-04-2018,sabre,women,1
