season,competitionId,name,location,country,startDate,endDate,weapon,gender,hasResults
2007,242,Championnats du Monde,St-Petersbourg,russia,02-10-2007,03-10-2007,epee,men,1
2007,246,Championnats du Monde,St-Petersbourg,russia,01-10-2007,02-10-2007,sabre,men,1
2007,244,Championnats du Monde,St-Petersbourg,russia,29-09-2007,30-09-2007,foil,men,1
2007,656,Tournoi satellite,Istanbul,türkiye,22-09-2007,23-09-2007,epee,men,1
2007,798,Championnats Panaméricains,Montreal,canada,27-08-2007,27-08-2007,foil,men,1
2007,799,Championnats Panaméricains,Montreal,canada,28-08-2007,28-08-2007,epee,men,1
2007,802,Championnats Panaméricains,Montreal,canada,29-08-2007,29-08-2007,sabre,men,1
2007,782,Championnats asiatiques seniors,Nantong,china,22-08-2007,27-08-2007,epee,men,1
2007,784,Championnats asiatiques seniors,Nantong,china,22-08-2007,27-08-2007,foil,men,1
2007,786,Championnats asiatiques seniors,Nantong,china,22-08-2007,25-08-2007,sabre,men,1
2007,846,The 24th Universiade Bangkok 2007,Bangkok,thailand,13-08-2007,13-08-2007,sabre,men,0
2007,841,The 24th Universiade Bangkok 2007,Bangkok,thailand,11-08-2007,11-08-2007,epee,men,0
2007,843,The 24th Universiade Bangkok 2007,Bangkok,thailand,12-08-2007,12-08-2007,foil,men,0
2007,585,Jeux Africains,Alger,algeria,13-07-2007,13-07-2007,epee,men,1
2007,587,Jeux Africains,Alger,algeria,12-07-2007,12-07-2007,foil,men,1
2007,589,Jeux Africains,Alger,algeria,14-07-2007,14-07-2007,sabre,men,1
2007,641,Jeux Panaméricains,Rio de Janeiro,brazil,14-07-2007,21-07-2007,epee,men,0
2007,643,Jeux Panaméricains,Rio de Janeiro,brazil,14-07-2007,21-07-2007,foil,men,0
2007,645,Jeux Panaméricains,Rio de Janeiro,brazil,14-07-2007,21-07-2007,sabre,men,0
2007,739,Championnats d'Europe,Gand,belgium,02-07-2007,07-07-2007,epee,men,1
2007,741,Championnats d'Europe,Gand,belgium,02-07-2007,07-07-2007,foil,men,1
2007,743,Championnats d'Europe,Gand,belgium,02-07-2007,07-07-2007,sabre,men,1
2007,111,Jockey Club Argentino,Buenos Aires,argentina,23-06-2007,24-06-2007,epee,men,1
2007,474,Coupe du Monde,Las Vegas,usa,23-06-2007,24-06-2007,sabre,men,1
2007,186,Cole Cup,Newcastle,great britain,23-06-2007,24-06-2007,sabre,men,1
2007,106,Coupe du Monde,Bogota,colombia,15-06-2007,16-06-2007,epee,men,1
2007,146,Copa Virgen Del Valle Aniversario I.N.D,Isla de Margarita,venezuela,15-06-2007,16-06-2007,foil,men,1
2007,476,Copa Virgen Del Valle Aniversario I.N.D,Isla de Margarita,venezuela,15-06-2007,16-06-2007,sabre,men,1
2007,115,Copa Mundial de Puerto Rico,Caguas,puerto rico,08-06-2007,09-06-2007,epee,men,1
2007,147,Copa Villa La Habana,La Havane,cuba,10-06-2007,11-06-2007,foil,men,1
2007,185,Tournoi satellite sabre masculin,Reykjavik,iceland,09-06-2007,10-06-2007,sabre,men,1
2007,105,Epée internationale,Montréal,canada,01-06-2007,02-06-2007,epee,men,1
2007,463,Epée internationale,Montréal,canada,31-05-2007,01-06-2007,foil,men,1
2007,163,Trophée Luxardo,Padoue,italy,01-06-2007,02-06-2007,sabre,men,1
2007,184,Tournoi satellite sabre masculin,Helsinki,finland,26-05-2007,26-05-2007,sabre,men,1
2007,136,Grand Prix,Le Caire,egypt,25-05-2007,26-05-2007,foil,men,1
2007,164,Villa de Madrid,Madrid,spain,25-05-2007,26-05-2007,sabre,men,1
2007,521,Challenge Australia,Sydney,australia,26-05-2007,27-05-2007,epee,men,1
2007,145,Prince Takamado WC,Tokyo,japan,19-05-2007,20-05-2007,foil,men,1
2007,165,Sabre de Wolodyjowski,Varsovie,poland,19-05-2007,20-05-2007,sabre,men,1
2007,104,Challenge Monal,Paris,france,11-05-2007,12-05-2007,epee,men,1
2007,139,Coupe du Monde,Shanghai,china,11-05-2007,12-05-2007,foil,men,1
2007,413,Coupe du Monde,Bangkok,thailand,04-05-2007,05-05-2007,sabre,men,1
2007,138,SK Trophée Séoul,Séoul,korea,05-05-2007,06-05-2007,foil,men,1
