Gender,Weapon,Season,Competition,Round,Fencer1 Name,Fencer1 Nation,Fencer1 Score,Fencer1 Winner,Fencer2 Name,Fencer2 Nation,Fencer2 Score,Fencer2 Winner,Referees
men,foil,2023,World Championships,A4,IIMURA Kazuki,JPN,11,False,CHEUNG Ka Long,HKG,15,True,"Ref MADR Vilem CZE, Assistant HUANG Hao Chih TPE, Assistant SUH Sangwon KOR, Video FERJANI Mohamed Ayoub TUN"
men,foil,2023,World Championships,A4,MACCHI Filippo,ITA,15,True,ITKIN Nick,USA,11,False,"Ref FERJANI Mohamed Ayoub TUN, Assistant SUH Sangwon KOR, Assistant MADR Vilem CZE, Video HUANG Hao Chih TPE"
men,foil,2023,World Championships,A2,CHEUNG Ka Long,HKG,15,True,MACCHI Filippo,ITA,14,False,"Ref HUANG Hao Chih TPE, Video SUH Sangwon KOR, Assistant FERJANI Mohamed Ayoub TUN, Assistant MADR Vilem CZE"
men,epee,2023,World Championships,A64,ZHANG Nicholas,CAN,11,False,LUGO Grabiel,VEN,15,True,"Ref CHICHON Vanesa ESP, Video PAGHIEV Mihail MDA"
men,epee,2023,World Championships,A64,SANER Harry,RSA,9,False,SHARLAIMOV Vadim,KAZ,15,True,"Ref CIVIERO-AIVANO Ambre SUI, Video AULAR Aleska VEN"
men,epee,2023,World Championships,A64,MOHSEN Mahmoud,EGY,8,False,JURKA Jakub,CZE,15,True,"Ref KOVRIJNYKH Andrei RSA, Video TURDIKULOVA Dilorom UZB"
men,epee,2023,World Championships,A32,KOCH Mate Tamas,HUN,10,False,LUGO Grabiel,VEN,15,True,"Ref CHICHON Vanesa ESP, Video DYAOKOKIN Yevgeniy KAZ"
men,epee,2023,World Championships,A32,LIMARDO GASCON Ruben,VEN,10,False,ANDRASFI Tibor,HUN,15,True,"Ref CIVIERO-AIVANO Ambre SUI, Video KIAVUE Ella FRA"
men,epee,2023,World Championships,A32,VISMARA Federico,ITA,15,True,TULEN Tristan,NED,11,False,"Ref TURDIKULOVA Dilorom UZB, Video DOUVIS Andreas GRE"
men,epee,2023,World Championships,A32,ALIMZHANOV Elmir,KAZ,15,True,MIDELTON Luidgi,FRA,14,False,"Ref KOVRIJNYKH Andrei RSA, Video PEYKARARA Reza IRI"
men,epee,2023,World Championships,A32,CANNONE Romain,FRA,15,True,BERAN Jiri,CZE,8,False,"Ref KOVRIJNYKH Andrei RSA, Video VALIYEV Fikrat AZE"
