athleteId,hand,rank
1455,L,163.0
1644,R,510.0
2228,R,960.0
3879,L,254.0
4164,L,116.0
4585,L,38.0
5511,L,
6847,R,
8284,L,34.0
9248,R,126.0
9426,R,
9908,L,78.0
10286,L,197.0
10813,R,23.0
12343,R,34.0
12562,R,4.0
13191,R,182.0
13503,L,60.0
13715,R,11.0
13948,R,468.0
14473,R,464.0
14715,R,
15098,L,137.0
15368,L,91.0
15542,R,476.0
15804,R,458.0
16463,R,
16779,R,
17458,R,10.0
17748,R,35.0
17872,R,100.0
18026,R,208.0
18600,R,109.0
18732,R,
18861,L,44.0
19090,R,373.0
19507,L,174.0
19821,R,
19933,R,6.0
20135,R,
20181,R,25.0
20433,L,215.0
20610,R,708.0
20768,R,371.0
20960,R,43.0
21261,R,98.0
21555,R,
21621,L,35.0
21745,L,249.0
21966,L,12.0
22030,R,450.0
22252,R,18.0
22401,R,
22449,R,73.0
22599,L,58.0
22832,R,85.0
23126,L,177.0
23398,L,3.0
23590,L,
23771,R,198.0
24108,L,18.0
24278,R,217.0
24460,L,7.0
24829,R,210.0
24944,L,14.0
25040,L,259.0
25181,R,112.0
25347,R,
25512,R,304.0
25897,L,
25948,L,
26008,L,32.0
26130,R,
26319,R,170.0
26433,R,118.0
26550,L,
26623,L,
26706,R,207.0
26798,R,97.0
26857,R,55.0
26872,R,25.0
26910,R,716.0
26995,L,678.0
27101,R,295.0
27218,R,30.0
27290,L,407.0
27489,R,191.0
27945,R,
28081,R,22.0
28208,L,671.0
28333,R,72.0
28400,R,140.0
28542,L,245.0
28626,R,84.0
28646,R,45.0
28698,R,730.0
28806,R,172.0
28845,R,265.0
28875,R,232.0
28898,R,80.0
28940,R,
29057,R,558.0
29095,R,180.0
29229,L,24.0
29249,R,21.0
29536,R,210.0
29773,L,
29878,R,62.0
29961,R,67.0
30038,R,
30087,R,208.0
30209,R,47.0
30326,R,
30389,R,
30489,R,110.0
30562,R,122.0
30627,R,87.0
30743,L,416.0
30829,L,41.0
30866,R,426.0
30882,R,13.0
30936,L,
30981,R,231.0
31023,R,121.0
31051,R,168.0
31099,R,111.0
31105,R,297.0
31155,L,174.0
31278,L,51.0
31345,R,94.0
31588,R,232.0
31645,R,191.0
31836,R,
31867,L,73.0
31904,R,
31927,R,12.0
31958,R,229.0
32023,R,68.0
32052,R,38.0
32199,R,139.0
32234,R,173.0
32262,R,42.0
32296,L,305.0
32376,L,196.0
32393,R,125.0
32425,L,428.0
32450,R,
32471,L,84.0
32585,R,
32657,R,117.0
32715,R,242.0
32821,R,68.0
32874,R,110.0
32931,R,
32964,L,
32998,R,299.0
33063,R,
33156,R,117.0
33493,R,155.0
33651,R,123.0
33675,L,395.0
33780,R,16.0
33865,L,15.0
33932,R,
33997,R,102.0
34121,R,188.0
34218,R,269.0
34259,R,57.0
34280,R,100.0
34315,R,183.0
34354,L,
34396,R,15.0
34434,R,
34500,R,62.0
34540,R,
34580,R,91.0
34633,R,301.0
34654,R,157.0
34663,R,146.0
34709,R,165.0
34735,R,271.0
34795,R,
34890,R,18.0
34912,R,47.0
34969,R,665.0
35041,L,18.0
35097,R,
35125,R,19.0
35181,R,
35237,R,78.0
35361,R,21.0
35412,R,155.0
35589,L,
35720,L,42.0
35779,L,69.0
35850,R,270.0
35937,R,189.0
36104,R,176.0
36229,R,669.0
36358,R,246.0
36441,R,4.0
36497,R,658.0
36561,R,120.0
36623,R,150.0
36648,R,4.0
36755,R,459.0
36809,R,667.0
36828,R,169.0
36879,R,92.0
36930,L,281.0
36946,R,700.0
36980,R,159.0
37024,R,376.0
37131,R,127.0
37194,L,7.0
37227,L,
37285,R,591.0
37376,R,29.0
37448,R,53.0
37484,R,
37563,R,122.0
37580,R,60.0
37683,L,179.0
37730,R,145.0
37758,L,88.0
37790,R,157.0
37837,R,134.0
37865,R,198.0
37904,L,
38005,R,403.0
38125,R,261.0
38211,L,228.0
38698,R,617.0
38781,R,172.0
38853,R,191.0
38911,R,451.0
38939,R,
39052,R,
39124,R,96.0
39144,R,901.0
39168,R,264.0
39244,R,8.0
39272,L,208.0
39313,R,51.0
39374,L,148.0
39433,R,258.0
39466,L,204.0
39515,L,138.0
39575,R,191.0
39608,L,244.0
39623,R,
39650,R,40.0
40009,L,56.0
40019,R,172.0
40048,R,214.0
40141,R,233.0
40155,R,481.0
40189,R,320.0
40212,L,132.0
40236,R,17.0
40292,R,94.0
40354,L,72.0
40389,R,50.0
40427,R,
40452,R,364.0
40486,R,38.0
40505,R,499.0
40542,L,319.0
40555,R,83.0
40687,R,249.0
40851,R,88.0
40892,L,133.0
40947,R,290.0
41025,R,328.0
41240,R,110.0
41476,R,129.0
41573,R,359.0
41708,R,473.0
41767,R,77.0
41843,L,118.0
41898,R,
41974,L,
42027,R,571.0
42078,R,54.0
42113,R,261.0
42147,R,112.0
42192,L,3.0
42213,L,419.0
42338,L,212.0
42387,R,98.0
42455,R,239.0
42541,L,6.0
42592,R,306.0
42623,L,657.0
42647,R,253.0
42728,L,331.0
42749,R,130.0
42802,R,110.0
42836,R,899.0
42856,R,135.0
42875,L,14.0
42924,L,232.0
42935,R,320.0
42949,L,26.0
42966,R,
42997,R,9.0
43004,R,203.0
43033,R,225.0
43046,R,437.0
43115,R,132.0
43142,R,190.0
43149,R,80.0
43192,R,533.0
43248,R,61.0
43300,R,79.0
43326,R,
43400,R,
43452,L,
43477,R,114.0
43550,R,146.0
43593,R,170.0
43610,L,2.0
43648,R,191.0
43709,R,185.0
43730,R,259.0
43815,R,329.0
43936,R,550.0
44019,R,
44130,R,141.0
44234,L,
44285,R,289.0
44383,R,202.0
44830,R,63.0
44876,R,203.0
44956,L,296.0
45058,R,327.0
45069,R,542.0
45107,L,317.0
45134,R,710.0
45210,R,254.0
45266,L,
45300,R,103.0
45314,R,37.0
45334,R,179.0
45353,R,16.0
45373,R,529.0
45400,R,325.0
45451,R,251.0
45464,R,105.0
45504,L,414.0
45566,R,99.0
45578,R,237.0
45630,R,465.0
45683,R,206.0
45699,R,148.0
45740,R,182.0
45763,R,273.0
45823,R,400.0
45854,L,
45872,R,457.0
45903,R,181.0
45924,L,235.0
45931,L,359.0
45968,R,202.0
45999,R,237.0
46038,L,151.0
46067,R,197.0
46091,L,221.0
46107,R,
46152,R,275.0
46171,R,
46193,R,72.0
46216,R,39.0
46274,R,448.0
46293,R,
46317,R,179.0
46357,R,668.0
46391,L,59.0
46421,R,345.0
46442,L,194.0
46510,L,140.0
46522,R,339.0
46541,R,33.0
46568,R,39.0
46576,R,283.0
46682,R,452.0
46746,R,50.0
46777,R,313.0
46789,R,12.0
46890,R,103.0
47042,L,246.0
47133,R,
47152,R,636.0
47241,R,393.0
47276,L,371.0
47434,R,185.0
47476,R,559.0
47508,R,505.0
47607,R,195.0
47650,R,969.0
47981,R,23.0
48068,R,701.0
48114,R,126.0
48157,R,127.0
48215,R,459.0
48255,R,160.0
48284,R,310.0
48339,L,326.0
48395,R,130.0
48434,R,230.0
48471,R,133.0
48498,R,606.0
48572,R,168.0
48586,R,191.0
48614,L,13.0
48645,R,355.0
48699,R,125.0
48731,L,166.0
48763,R,350.0
48800,R,184.0
48810,R,277.0
48847,L,161.0
48860,R,250.0
48878,R,143.0
48897,R,356.0
48936,R,253.0
48974,L,9.0
48986,L,46.0
49004,R,66.0
49020,R,167.0
49049,R,681.0
49110,R,31.0
49118,R,108.0
49147,R,
49167,R,136.0
49187,R,67.0
49216,R,439.0
49231,R,73.0
49251,R,218.0
49278,L,392.0
49297,R,41.0
49345,R,460.0
49363,R,
49379,R,171.0
49399,R,
49445,R,730.0
49505,R,216.0
49512,L,64.0
49530,R,271.0
49608,R,136.0
49644,R,276.0
49700,R,192.0
49726,L,297.0
49757,R,322.0
49773,R,169.0
49822,R,75.0
49827,R,360.0
49864,R,770.0
49915,L,160.0
49970,R,93.0
49994,L,60.0
50085,R,36.0
50216,R,239.0
50332,R,199.0
50396,R,471.0
50797,R,
50866,R,212.0
50893,L,
50901,L,370.0
50929,R,651.0
50977,R,
51010,R,106.0
51040,R,272.0
51068,R,575.0
51100,R,151.0
51115,R,276.0
51147,R,103.0
51211,L,111.0
51268,R,366.0
51279,R,420.0
51298,R,79.0
51349,L,1021.0
51377,L,345.0
51410,R,476.0
51432,R,256.0
51444,R,448.0
51460,R,647.0
51471,R,96.0
51495,L,211.0
51538,R,53.0
51561,R,321.0
51582,R,
51622,R,745.0
51633,L,231.0
51655,R,138.0
51688,R,477.0
51706,L,
51717,R,545.0
51732,R,312.0
51764,R,
51786,R,205.0
51798,L,
51813,R,285.0
51847,R,609.0
51862,R,177.0
51885,R,360.0
51943,L,604.0
51958,R,
51981,R,603.0
52020,L,442.0
52041,R,554.0
52068,R,528.0
52089,R,185.0
52100,R,389.0
52146,R,133.0
52165,R,360.0
52210,R,32.0
52244,R,173.0
52266,R,234.0
52298,R,357.0
52320,R,206.0
52358,R,440.0
52375,L,190.0
52445,R,587.0
52513,R,178.0
52565,R,451.0
52593,L,128.0
52617,R,456.0
52633,R,226.0
52665,L,
52677,R,
52709,R,116.0
52717,R,803.0
52722,R,47.0
52748,R,
52762,R,409.0
52776,R,204.0
52788,R,104.0
52811,R,
52865,R,59.0
52881,R,548.0
52899,R,
52909,R,219.0
52946,R,212.0
52965,R,1040.0
53211,R,186.0
53252,R,867.0
53256,R,239.0
53294,R,321.0
53315,R,
53347,R,
53364,R,
53400,R,201.0
53412,R,139.0
53423,R,
53438,R,293.0
53450,R,262.0
53488,R,46.0
53524,L,394.0
53564,R,
53577,R,257.0
53595,R,71.0
53618,R,229.0
53655,R,236.0
53669,R,309.0
53676,R,
53692,R,
53711,R,547.0
53718,R,533.0
53732,R,538.0
53762,L,587.0
53773,R,367.0
53787,L,184.0
53794,R,103.0
53808,R,221.0
53828,R,148.0
53841,R,
53848,L,505.0
53870,R,230.0
53875,R,555.0
53886,L,316.0
53901,R,388.0
53912,R,311.0
53930,R,262.0
53942,R,
53955,R,459.0
53960,R,192.0
54007,R,897.0
54025,L,229.0
54052,R,403.0
54075,L,220.0
54091,L,321.0
54101,R,380.0
54129,R,327.0
54147,R,
54152,R,137.0
54168,R,
54186,R,285.0
54215,L,460.0
54224,R,
54247,R,267.0
54254,R,617.0
54261,R,650.0
54283,R,40.0
54300,R,294.0
54332,R,158.0
54369,L,226.0
54382,R,385.0
54391,R,77.0
54411,R,292.0
54425,R,
54446,R,462.0
54488,R,
54516,R,247.0
54546,R,
54573,R,
54600,R,555.0
54620,L,
54660,R,218.0
54701,R,485.0
54756,R,641.0
54787,R,306.0
54823,L,7.0
54835,R,
54881,R,303.0
54909,R,162.0
54926,R,175.0
54981,R,
55050,R,
55077,R,524.0
55143,R,413.0
55167,L,281.0
55198,R,
55264,R,425.0
55306,R,535.0
55463,R,632.0
55605,R,706.0
55661,L,
55738,L,
55806,L,200.0
55839,R,
55908,R,701.0
56462,R,539.0
56480,R,702.0
56545,L,608.0
56611,R,
56637,R,418.0
56692,R,773.0
56841,R,206.0
56857,L,25.0
56903,R,838.0
56924,R,
56953,R,443.0
56960,R,326.0
56976,R,
56988,R,
57002,L,175.0
57030,R,819.0
57041,R,803.0
57059,R,479.0
57096,R,610.0
57125,R,233.0
57193,R,301.0
57232,R,80.0
57272,R,477.0
57296,R,496.0
57307,R,371.0
57325,R,
57339,R,432.0
57344,R,
57353,R,
57383,R,61.0
57406,L,588.0
57422,R,187.0
57462,R,544.0
57511,L,
57565,R,399.0
57590,R,239.0
57610,R,
57620,R,793.0
57663,R,628.0
57696,R,
57717,R,243.0
57772,R,648.0
57839,R,165.0
57872,R,
57961,R,331.0
58014,R,284.0
58047,R,315.0
58104,R,202.0
58151,R,293.0
58207,R,280.0
58281,R,
58341,R,
58364,R,
58380,L,
58434,R,
58468,R,
58526,R,305.0
58561,R,262.0
58606,R,304.0
58625,R,201.0
58632,R,
58643,R,127.0
58649,R,218.0
58706,R,342.0
58836,R,886.0
58880,R,246.0
58978,R,364.0
59021,R,344.0
59084,R,452.0
59182,R,193.0
59241,R,
59257,R,320.0
59342,R,112.0
59401,R,438.0
59618,R,
59645,R,
59660,R,428.0
59670,R,147.0
59703,R,297.0
59725,R,125.0
59824,R,594.0
60250,R,443.0
60265,R,
60291,R,
60307,R,
60336,R,180.0
60380,L,570.0
60398,R,
60409,R,775.0
60420,R,819.0
60446,R,728.0
60461,R,546.0
60483,R,427.0
60488,R,
60502,R,
60508,R,639.0
60527,L,395.0
60544,R,
60555,R,291.0
60575,R,
60584,L,767.0
60621,R,635.0
60640,R,
60645,R,
60666,R,575.0
60698,L,520.0
60719,R,
60730,R,
60761,R,642.0
60772,R,
60787,R,425.0
60879,R,616.0
60942,R,310.0
61047,R,
61119,R,
61204,R,
61251,R,
61265,R,
61354,R,158.0
61423,R,57.0
61515,R,511.0
61659,R,
61733,R,
61808,R,
61977,R,
62112,R,307.0
62177,R,
62266,R,340.0
62286,L,
62507,R,
62722,R,186.0
62774,L,336.0
62807,R,318.0
62838,R,386.0
62873,R,83.0
