athleteId,hand,rank
148,L,
1486,R,648.0
1686,R,383.0
2130,R,560.0
2255,R,
2620,R,7.0
2656,L,690.0
2736,L,61.0
2988,R,
3172,R,594.0
3495,L,69.0
3645,R,
3960,R,171.0
4119,R,72.0
4202,R,25.0
4276,R,20.0
4383,L,229.0
4437,L,150.0
4550,R,
4633,R,24.0
4817,L,99.0
5065,R,
5224,L,424.0
5279,L,304.0
5443,L,50.0
5490,L,
5539,R,383.0
5717,R,
5815,R,80.0
5861,L,
6022,R,267.0
6179,R,830.0
6219,R,432.0
6330,R,
6424,R,2.0
6847,R,348.0
7292,R,502.0
7718,R,89.0
8195,R,398.0
8292,R,
8506,R,229.0
8613,R,65.0
8745,R,45.0
9082,R,
9163,R,475.0
9248,R,1.0
9370,L,71.0
9460,L,377.0
9557,R,
9648,R,65.0
9711,R,
9746,L,18.0
9846,L,682.0
10070,R,881.0
10213,R,48.0
10286,L,26.0
10379,R,71.0
10494,R,
10634,R,
10760,R,
10794,L,18.0
10859,R,
11010,R,
11119,R,
11347,R,694.0
11551,L,142.0
11784,R,684.0
12094,R,72.0
12204,R,
12269,R,11.0
12372,R,290.0
12443,R,
12532,L,89.0
12603,L,
12634,L,
12713,R,148.0
12963,R,68.0
13171,R,
13279,R,
13412,L,274.0
13432,R,
13483,R,115.0
13707,R,4.0
13812,R,331.0
13924,R,133.0
14004,R,177.0
14464,R,366.0
14523,R,
14698,R,277.0
14734,R,327.0
14935,R,
14997,R,15.0
15094,R,371.0
15182,R,19.0
15297,R,79.0
15336,R,121.0
15368,L,55.0
15403,R,101.0
15500,R,
15590,L,
15708,R,
15738,R,844.0
15803,R,248.0
15857,R,211.0
15984,L,
16054,R,
16248,L,
16371,R,119.0
16392,R,44.0
16428,L,561.0
16439,R,
16679,R,
16744,R,171.0
16997,L,
17052,L,30.0
17138,L,199.0
17179,L,71.0
17386,R,212.0
17455,R,85.0
17501,R,
17554,R,
17622,L,76.0
17746,R,222.0
17761,R,456.0
17872,R,79.0
17965,R,264.0
18021,L,37.0
18071,R,12.0
18294,L,
18346,R,
18397,R,51.0
18460,R,280.0
18600,R,338.0
18673,R,97.0
18728,R,86.0
18774,R,47.0
18831,R,1.0
18881,L,7.0
18947,R,261.0
19030,R,181.0
19069,R,
19238,L,
19403,R,
19568,L,710.0
19590,L,223.0
19630,R,48.0
19681,R,
19821,R,7.0
19856,R,1.0
19917,R,87.0
19949,L,87.0
20060,R,268.0
20123,R,59.0
20179,R,31.0
20367,R,
20450,R,20.0
20487,R,123.0
20538,R,59.0
20575,R,141.0
20601,R,102.0
20648,R,234.0
20708,R,404.0
20769,R,258.0
20823,L,
20879,R,
20897,R,100.0
20938,R,53.0
20988,R,134.0
21017,R,175.0
21091,L,
21208,L,54.0
21261,R,121.0
21434,R,
21484,R,34.0
21522,L,
21581,L,63.0
21608,R,223.0
21624,,
21683,R,473.0
21717,R,3.0
21765,R,20.0
21815,,
21853,L,507.0
21926,R,63.0
21966,L,13.0
22036,R,40.0
22078,R,183.0
22153,R,
22194,R,491.0
22252,R,14.0
22319,R,
22346,R,213.0
22362,L,309.0
22401,R,83.0
22440,R,
22490,R,693.0
22555,R,14.0
22599,L,124.0
22659,R,214.0
22771,R,515.0
22806,R,172.0
22872,L,307.0
22961,R,175.0
23033,L,
23070,L,78.0
23238,R,56.0
23304,L,531.0
23394,L,
23445,R,10.0
23495,R,126.0
23550,R,136.0
23580,R,328.0
23663,R,
23684,R,
23744,L,427.0
23786,R,
23853,R,
24037,R,
24084,R,28.0
24120,,
24221,R,196.0
24259,R,11.0
24278,R,138.0
24377,R,
24404,R,148.0
24442,R,
24476,L,28.0
24505,R,501.0
24551,R,606.0
24647,R,
24678,R,65.0
24763,L,
24833,R,137.0
24874,R,260.0
24920,R,6.0
24964,R,487.0
24989,R,
25019,L,154.0
25075,R,438.0
25142,R,22.0
25181,R,60.0
25192,L,
25206,R,
25216,R,
25253,R,474.0
25347,R,165.0
25418,R,117.0
25508,R,228.0
25515,R,74.0
25594,R,
25746,R,
25835,R,
25906,R,425.0
25928,L,103.0
25947,L,198.0
25986,L,215.0
26009,R,
26068,R,
26086,L,496.0
26098,R,357.0
26130,R,907.0
26146,R,962.0
26179,L,
26244,L,58.0
26292,R,373.0
26319,R,321.0
26355,L,381.0
26404,,
26477,L,105.0
26501,R,685.0
26539,R,115.0
26551,R,254.0
26593,R,88.0
26668,R,199.0
26695,L,27.0
26717,R,
26772,L,323.0
26800,R,127.0
26857,R,49.0
26869,R,624.0
26885,L,959.0
26913,R,42.0
26957,L,122.0
26985,R,
27058,R,112.0
27097,R,
27143,L,99.0
27169,R,109.0
27218,R,46.0
27237,R,34.0
27248,L,
27286,L,637.0
27294,L,139.0
27309,R,132.0
27336,R,249.0
27360,R,253.0
27405,R,325.0
27431,R,46.0
27497,R,
27545,R,
27584,R,93.0
27745,R,392.0
27922,R,151.0
27967,,
28025,L,326.0
28070,R,
28107,R,140.0
28125,L,590.0
28140,R,323.0
28163,R,284.0
28211,R,132.0
28237,R,
28272,R,
28293,R,141.0
28316,R,
28329,L,
28348,R,220.0
28357,R,
28398,R,659.0
28428,R,
28449,R,193.0
28468,R,
28521,R,166.0
28588,R,
28626,R,26.0
28640,R,408.0
28650,R,596.0
28659,R,272.0
28712,R,50.0
28728,R,125.0
28759,R,129.0
28801,R,128.0
28816,R,177.0
28840,L,84.0
28847,R,47.0
28867,R,429.0
28892,L,256.0
28926,R,88.0
28959,L,
29012,L,64.0
29039,R,119.0
29057,R,432.0
29091,R,123.0
29118,L,357.0
29189,R,142.0
29196,L,214.0
29203,L,190.0
29226,R,307.0
29233,R,20.0
29241,L,162.0
29257,R,29.0
29262,R,
29322,R,231.0
29356,R,
29450,L,854.0
29536,R,14.0
29613,L,159.0
29695,R,265.0
29762,L,
29791,R,186.0
29817,L,405.0
29851,R,293.0
29878,R,55.0
29935,R,384.0
29962,R,67.0
29976,R,231.0
30002,R,35.0
30038,R,508.0
30057,R,
30076,R,455.0
30087,R,93.0
30107,R,741.0
30121,R,
30125,R,
30155,R,743.0
30173,L,
30201,R,
30255,R,
30285,R,247.0
30326,R,191.0
30339,R,
30387,R,
30412,R,280.0
30458,R,
30499,L,310.0
30539,R,202.0
30561,L,
30579,R,283.0
30615,R,231.0
30628,R,234.0
30645,R,
30696,R,100.0
30722,R,
30761,R,
30776,R,
30808,R,67.0
30829,L,83.0
30838,R,188.0
30879,R,647.0
30885,R,69.0
30911,R,233.0
30935,R,497.0
30956,R,462.0
30971,R,92.0
30996,R,347.0
31008,R,210.0
31020,R,291.0
31034,R,618.0
31042,R,246.0
31056,R,61.0
31085,R,
31094,R,275.0
31104,R,153.0
31117,L,181.0
31131,R,237.0
31154,L,178.0
31160,R,718.0
31175,R,823.0
31226,L,
31293,R,277.0
31314,R,223.0
31345,R,
31414,R,281.0
31495,R,706.0
31552,R,
31612,R,125.0
31633,R,218.0
31689,R,350.0
31715,R,572.0
31750,R,806.0
31791,R,
31809,R,604.0
31836,R,75.0
31852,R,412.0
31871,R,454.0
31901,R,333.0
31927,R,75.0
31949,R,372.0
31962,R,
31985,R,143.0
32025,R,260.0
32052,R,139.0
32070,R,
32095,R,
32168,R,197.0
32178,R,
32213,R,357.0
32237,R,66.0
32251,L,101.0
32263,R,231.0
32296,L,305.0
32343,R,
32359,R,255.0
32382,R,85.0
32390,L,123.0
32420,L,552.0
32442,R,333.0
32473,L,185.0
32498,R,110.0
32516,R,380.0
32546,L,176.0
32570,R,604.0
32593,R,490.0
32620,R,847.0
32658,R,133.0
32689,L,147.0
32709,R,
32730,R,54.0
32745,L,93.0
32780,R,399.0
32845,R,128.0
32853,L,683.0
32874,R,
32896,R,203.0
32912,L,93.0
32932,L,408.0
32941,L,38.0
32965,R,502.0
32987,R,
32993,L,349.0
33016,R,
33027,L,127.0
33079,R,641.0
33139,R,488.0
33174,R,
33183,L,126.0
33211,R,
33383,L,176.0
33467,L,413.0
33493,R,250.0
33576,L,700.0
33614,L,130.0
33638,R,782.0
33652,L,537.0
33666,R,284.0
33680,L,632.0
33728,R,506.0
33752,R,484.0
33780,R,124.0
33809,R,343.0
33850,R,525.0
33862,R,264.0
33874,R,38.0
33907,R,170.0
33967,R,353.0
34029,R,692.0
34051,L,220.0
34072,,
34121,R,392.0
34162,R,
34214,R,332.0
34256,R,
34279,L,384.0
34297,R,108.0
34330,R,431.0
34354,L,142.0
34396,R,856.0
34433,L,36.0
34461,R,
34500,R,500.0
34535,R,251.0
34549,R,249.0
34564,R,22.0
34589,L,
34620,R,875.0
34634,L,257.0
34643,R,41.0
34666,R,167.0
34678,R,
34688,R,
34701,R,110.0
34719,R,459.0
34728,R,434.0
34784,L,90.0
34833,R,538.0
34875,R,644.0
34891,R,377.0
34899,R,
34906,R,141.0
34942,R,195.0
34946,R,134.0
34986,L,217.0
35036,R,68.0
35073,L,564.0
35097,R,286.0
35109,L,306.0
35125,R,51.0
35180,R,291.0
35193,R,424.0
35212,R,209.0
35242,R,
35267,R,
35355,R,
35370,R,39.0
35383,R,236.0
35404,R,334.0
35483,R,239.0
35611,R,
35660,R,
35685,R,184.0
35749,R,723.0
35779,L,313.0
35802,R,607.0
35819,R,
35856,R,543.0
35876,R,545.0
35901,R,601.0
35933,R,
36030,R,
36075,R,
36229,R,322.0
36288,R,423.0
36317,R,
36344,R,
36394,R,54.0
36451,R,
36485,R,442.0
36527,R,
36547,R,498.0
36591,R,347.0
36644,L,
36658,R,161.0
36670,R,405.0
36722,R,
36744,R,100.0
36781,R,
36796,R,276.0
36808,R,
36821,R,480.0
36837,R,474.0
36876,R,354.0
36888,R,442.0
36910,R,
36990,R,5.0
37005,R,
37025,R,
37044,L,84.0
37077,R,630.0
37141,R,464.0
37152,R,589.0
37215,R,
37257,L,395.0
37284,R,340.0
37315,R,107.0
37351,R,
37376,R,918.0
37461,R,340.0
37538,R,
37601,R,
37619,L,365.0
37702,L,279.0
37745,R,316.0
37801,R,
37843,R,
37869,R,192.0
37875,L,125.0
37964,R,
38001,R,667.0
38048,R,316.0
38073,R,128.0
38108,R,
38123,R,
38144,R,88.0
38225,R,
38358,L,196.0
38591,R,381.0
38635,R,199.0
38683,R,579.0
38700,L,
38729,R,
38739,R,394.0
38771,R,566.0
38820,L,565.0
38857,R,560.0
38885,L,713.0
38904,R,511.0
38932,R,128.0
38990,R,251.0
39033,R,579.0
39078,R,
39119,R,
39145,R,516.0
39160,R,270.0
39189,R,201.0
39238,R,
39252,R,265.0
39287,R,503.0
39297,R,266.0
39322,R,
39391,L,137.0
39428,R,171.0
39470,R,437.0
39500,R,378.0
39557,L,316.0
39609,R,489.0
39631,R,131.0
40003,R,134.0
40032,R,168.0
40091,R,
40166,R,966.0
40234,L,225.0
40248,R,519.0
40292,R,560.0
40328,R,
40362,R,288.0
40453,R,441.0
40491,R,
40533,R,
40591,R,595.0
40727,R,331.0
40751,R,
40904,L,
41369,R,
41475,R,838.0
41533,L,628.0
41561,R,
41568,R,
41633,R,
41721,R,680.0
41785,R,
41846,R,353.0
41937,R,
41959,R,
41980,R,
42006,L,
42021,R,400.0
42038,R,
42068,R,
42078,R,606.0
42110,R,
42135,L,764.0
42154,R,323.0
42182,R,
42232,L,287.0
42272,R,
42370,R,
42387,R,773.0
42408,R,641.0
42452,R,233.0
42485,R,838.0
42493,R,
42519,R,294.0
42529,R,
42562,L,
42616,R,320.0
42640,R,
42659,R,
42666,R,
42673,R,
42681,L,
42687,R,
42691,R,
42701,R,
42706,R,
42718,R,
42742,R,
42776,R,
42802,R,155.0
42870,R,
42930,L,
43034,R,504.0
43066,R,
43194,R,532.0
43272,R,
43547,R,239.0
43624,R,244.0
43790,R,
44110,R,276.0
44130,R,225.0
44186,R,596.0
44195,R,
44199,R,191.0
44217,R,103.0
44240,R,
44270,R,
44277,L,469.0
44299,R,266.0
44350,R,
44742,R,
44785,R,
