Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Gerelmaa BAATARCHULUUN,601.0,R,Tik Lam Debbie HO,631.0,R,Loss,7,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Marilyne PLANTE,665.0,L,Yuliya SVYSTIL,141.0,R,Loss,9,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Hui Min LIN,502.0,R,Ingrid URSULET,305.0,R,Won,15,12
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Marta FERRARI,54.0,R,Tik Lam Debbie HO,631.0,R,Won,15,5
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Nadine STAHLBERG,166.0,R,Alexandra LOUIS MARIE,250.0,R,Won,15,13
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Michaela KOCK,220.0,R,Kata MIHALY,164.0,R,Loss,14,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Anna SALMINEN,190.0,R,Myoungsun KIM,,R,Loss,12,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Roberta MARZANI,98.0,L,Kabita DEVI,515.0,R,Won,15,4
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Laura SZABO,399.0,R,Anna VAN BRUMMEN,209.0,R,Loss,7,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Honami SUZUKI,268.0,R,Kim Jasmin BUECH,291.0,L,Loss,13,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Ebba KARLSSON,212.0,R,Alice CLERICI,67.0,R,Loss,8,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Asa LINDE,128.0,R,Vera Maia Devi KANEVSKI,604.0,R,Won,15,10
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Ulyana BALAGANSKAYA,93.0,R,Anna HORNISCHER,189.0,L,Won,15,7
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Noemi MOESCHLIN,102.0,R,Laura STAEHLI,18.0,R,Loss,11,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Violetta KHRAPINA,138.0,L,Yulia LICHAGINA,,R,Won,5,3
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Martyna SWATOWSKA,198.0,L,Anu HARK,677.0,R,Won,15,11
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Dzhoan Feybi BEZHURA,34.0,R,Katharine HOLMES,33.0,R,Won,15,13
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Aleksandra ZAMACHOWSKA,55.0,R,Alena KOMAROVA,62.0,L,Won,15,11
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Eri SHIRAISHI,,R,Barbara RUTZ,44.0,L,Won,15,11
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Hyojoo CHOI,145.0,R,Yuliya SVYSTIL,141.0,R,Won,15,13
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Kamila PYTKA,103.0,L,Barbara VANBENTHUYSEN,,R,Won,15,10
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Nicol FOIETTA,81.0,R,Chih-Ting CHIU,239.0,R,Won,13,12
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Jo-Ting HSU,,R,Yik Hei Coco LIN,47.0,R,Loss,8,9
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Sera SONG,262.0,L,Madeleine ANDERSEN,667.0,R,Won,15,4
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Ka Mong CHU,136.0,R,Pauline BRUNNER,58.0,L,Loss,11,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Sofia TAURIAINEN,391.0,R,Larisa DORDEVIC,,L,Won,15,5
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Gaia-Marianna SALM,648.0,L,Paula SCHMIDL,125.0,R,Loss,7,9
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Amalia TATARAN,61.0,R,Irina OKHOTNIKOVA,82.0,R,Loss,14,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Catherine NIXON,73.0,L,Dorina BUDAI,48.0,R,Won,9,8
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Minmin LU,,R,Anfisa POCHKALOVA,45.0,R,Loss,13,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Vanessa RIEDMUELLER,197.0,R,Kseniya PANTELYEYEVA,52.0,R,Loss,10,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Yufen WANG,266.0,R,Eniko SIKLOSI,251.0,R,Won,15,13
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Ya Fang CHENG,,R,Marie-Florence CANDASSAMY,31.0,R,Loss,8,15
Women,Epee,2017/2018,2017 Summer Universiade (Taipei),20-08-2017,Danwoo YU,,L,Ayumu SAITO,593.0,L,Won,15,8
